Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
内海　哲也,5,2,1,0,0,0,0,0,0,0.667,104,23.333333333333332,30,4,6,0,0,10,1,0,15,13,5.01,Left,1.543,読売ジャイアンツ
大竹　寛,11,3,4,0,0,0,0,0,0,0.429,227,56.0,56,5,11,0,0,35,0,0,21,20,3.21,Right,1.196,読売ジャイアンツ
笠原　将生,20,0,0,0,1,1,0,0,0,0.0,90,19.0,25,4,11,0,0,18,0,0,13,13,6.16,Right,1.895,読売ジャイアンツ
香月　良太,14,0,0,0,0,0,0,0,0,0.0,58,14.333333333333334,14,2,2,0,0,5,0,0,9,6,3.77,Right,1.116,読売ジャイアンツ
小山　雄輝,7,0,1,1,2,2,0,0,0,0.0,68,15.666666666666666,18,2,7,0,0,10,2,0,7,7,4.02,Right,1.596,読売ジャイアンツ
澤村　拓一,60,7,3,36,3,10,0,0,0,0.7,282,68.33333333333333,58,4,21,0,3,60,2,0,12,10,1.32,Right,1.156,読売ジャイアンツ
菅野　智之,25,10,11,0,0,0,6,2,0,0.476,710,179.0,148,10,41,4,7,126,3,0,46,38,1.91,Right,1.056,読売ジャイアンツ
杉内　俊哉,17,6,6,0,0,0,0,0,0,0.5,401,95.66666666666667,88,9,35,0,3,93,2,1,42,42,3.95,Left,1.286,読売ジャイアンツ
高木　京介,33,1,0,0,1,2,0,0,0,1.0,167,41.0,31,4,13,0,0,43,1,0,10,10,2.2,Left,1.073,読売ジャイアンツ
高木　勇人,26,9,10,0,0,0,1,1,0,0.474,678,163.66666666666666,143,16,47,1,8,131,6,0,66,58,3.19,Right,1.161,読売ジャイアンツ
田口　麗斗,13,3,5,0,0,0,0,0,0,0.375,274,66.33333333333333,54,5,26,1,3,64,2,1,26,20,2.71,Left,1.206,読売ジャイアンツ
田原　誠次,18,1,0,0,4,5,0,0,0,1.0,75,18.0,11,1,9,0,2,18,0,0,2,2,1.0,Right,1.111,読売ジャイアンツ
土田　瑞起,11,1,0,0,0,1,0,0,0,1.0,57,12.666666666666666,14,1,6,0,0,13,0,0,9,9,6.39,Right,1.579,読売ジャイアンツ
戸根　千明,46,1,1,1,5,6,0,0,0,0.5,168,40.666666666666664,26,3,18,0,0,39,0,0,13,13,2.88,Left,1.082,読売ジャイアンツ
西村　健太朗,1,0,0,0,0,0,0,0,0,0.0,4,1.0,1,1,0,0,0,0,0,0,1,1,9.0,Right,1.0,読売ジャイアンツ
ポレダ,24,8,8,0,0,0,0,0,0,0.5,619,147.0,133,6,46,2,8,101,5,6,57,48,2.94,Left,1.218,読売ジャイアンツ
マイコラス,21,13,3,0,0,0,4,2,2,0.813,557,145.0,107,8,23,0,1,107,3,1,34,31,1.92,Right,0.897,読売ジャイアンツ
マシソン,63,3,8,2,28,31,0,0,0,0.273,244,58.333333333333336,47,5,21,0,2,55,1,0,22,17,2.62,Right,1.166,読売ジャイアンツ
宮國　椋丞,39,3,1,1,5,8,0,0,0,0.75,194,49.0,38,4,15,1,0,28,3,0,17,16,2.94,Right,1.082,読売ジャイアンツ
メンドーサ,2,0,0,0,1,1,0,0,0,0.0,13,3.0,3,0,1,1,0,3,0,0,1,1,3.0,Right,1.333,読売ジャイアンツ
矢貫　俊之,3,0,0,0,0,0,0,0,0,0.0,8,1.3333333333333333,3,0,1,0,0,2,0,0,2,2,13.5,Right,3.0,読売ジャイアンツ
山口　鉄也,60,4,5,2,29,33,0,0,0,0.444,216,52.666666666666664,48,5,15,0,2,31,2,0,18,16,2.73,Left,1.196,読売ジャイアンツ
秋山　拓巳,3,0,1,0,0,0,0,0,0,0.0,58,14.333333333333334,14,0,3,0,0,9,0,0,7,7,4.4,Right,1.186,阪神タイガース
安藤　優也,50,5,4,0,15,20,0,0,0,0.556,184,44.666666666666664,43,4,11,2,2,32,1,0,17,15,3.02,Right,1.209,阪神タイガース
石崎　剛,8,0,0,0,1,1,0,0,0,0.0,54,11.333333333333334,12,1,8,0,1,11,0,0,9,9,7.15,Right,1.765,阪神タイガース
岩崎　優,15,3,10,0,0,0,0,0,0,0.231,326,77.0,74,7,19,1,5,57,0,0,39,30,3.51,Left,1.208,阪神タイガース
岩貞　祐太,5,1,1,0,0,0,0,0,0,0.5,95,20.666666666666668,24,2,11,0,2,11,3,0,12,10,4.35,Left,1.694,阪神タイガース
岩田　稔,27,8,10,0,0,0,2,1,0,0.444,722,170.33333333333334,168,13,49,1,5,119,8,0,66,61,3.22,Left,1.274,阪神タイガース
岩本　輝,13,2,1,0,0,1,0,0,0,0.667,144,31.666666666666668,37,1,15,0,1,20,0,0,13,13,3.69,Right,1.642,阪神タイガース
榎田　大樹,8,0,0,0,0,0,0,0,0,0.0,42,8.666666666666666,9,1,4,0,1,8,0,0,11,10,10.38,Left,1.5,阪神タイガース
呉　昇桓,63,2,3,41,7,9,0,0,0,0.4,289,69.33333333333333,64,6,16,0,2,66,2,0,21,21,2.73,Right,1.154,阪神タイガース
加藤　康介,6,0,0,0,0,0,0,0,0,0.0,13,2.3333333333333335,4,0,2,1,0,2,0,0,5,3,11.57,Left,2.571,阪神タイガース
金田　和之,10,1,0,0,0,1,0,0,0,1.0,53,9.666666666666666,19,1,6,0,0,8,0,0,11,8,7.45,Right,2.586,阪神タイガース
桑原　謙太朗,6,0,0,0,0,0,0,0,0,0.0,34,6.333333333333333,9,1,6,0,0,5,1,0,6,6,8.53,Right,2.368,阪神タイガース
小嶋　達也,5,0,0,0,0,0,0,0,0,0.0,42,9.0,9,2,5,0,0,6,2,0,7,7,7.0,Left,1.556,阪神タイガース
サンティアゴ,3,1,0,0,0,0,0,0,0,1.0,76,16.666666666666668,20,2,7,0,0,7,0,0,8,8,4.32,Right,1.62,阪神タイガース
歳内　宏明,29,1,1,0,2,3,0,0,0,0.5,144,34.333333333333336,15,1,27,1,1,23,0,1,10,10,2.62,Right,1.223,阪神タイガース
島本　浩也,18,0,0,0,1,1,0,0,0,0.0,93,18.333333333333332,31,6,8,0,1,12,0,0,19,18,8.84,Left,2.127,阪神タイガース
高宮　和也,52,2,0,0,8,10,0,0,0,1.0,157,35.666666666666664,35,2,15,0,3,27,2,0,14,12,3.03,Left,1.402,阪神タイガース
玉置　隆,2,0,0,0,0,0,0,0,0,0.0,12,2.6666666666666665,3,1,1,0,0,4,0,0,2,1,3.38,Right,1.5,阪神タイガース
筒井　和也,6,0,0,0,0,0,0,0,0,0.0,25,5.0,8,0,3,0,0,7,0,0,3,3,5.4,Left,2.2,阪神タイガース
鶴　直人,5,0,0,0,0,0,0,0,0,0.0,31,7.666666666666667,8,0,2,0,0,5,0,0,1,1,1.17,Right,1.304,阪神タイガース
能見　篤史,27,11,13,0,0,0,1,1,1,0.458,672,159.66666666666666,170,13,38,1,2,125,6,0,73,66,3.72,Left,1.303,阪神タイガース
福原　忍,61,6,4,1,33,39,0,0,0,0.6,223,53.666666666666664,55,4,18,0,0,40,1,0,19,18,3.02,Right,1.36,阪神タイガース
藤浪　晋太郎,28,14,7,0,0,0,7,4,1,0.667,840,199.0,162,9,82,0,11,221,9,0,70,53,2.4,Right,1.226,阪神タイガース
二神　一人,12,0,0,0,0,0,0,0,0,0.0,58,14.0,11,1,5,0,1,17,0,0,4,4,2.57,Right,1.143,阪神タイガース
松田　遼馬,30,3,2,0,3,6,0,0,0,0.6,143,31.333333333333332,36,4,15,0,1,31,1,0,20,20,5.74,Right,1.628,阪神タイガース
メッセンジャー,29,9,12,0,0,0,0,0,0,0.429,799,193.66666666666666,163,10,60,0,4,194,5,0,68,64,2.97,Right,1.151,阪神タイガース
山本　翔也,7,1,0,0,0,0,0,0,0,1.0,46,10.666666666666666,11,0,3,0,0,10,0,0,5,5,4.22,Left,1.312,阪神タイガース
横山　雄哉,4,0,2,0,0,0,0,0,0,0.0,66,13.333333333333334,15,2,11,0,1,12,1,0,10,10,6.75,Left,1.95,阪神タイガース
渡辺　亮,1,0,0,0,0,0,0,0,0,0.0,7,1.3333333333333333,1,0,2,0,0,1,0,0,0,0,0.0,Right,2.25,阪神タイガース
飯田　哲矢,16,0,0,0,0,0,0,0,0,0.0,72,17.0,12,1,10,0,0,11,0,0,6,5,2.65,Left,1.294,広島東洋カープ
一岡　竜司,38,2,4,1,7,9,0,0,0,0.333,176,37.0,42,5,21,0,1,35,0,0,21,17,4.14,Right,1.703,広島東洋カープ
今井　啓介,11,0,1,0,1,1,0,0,0,0.0,71,18.0,16,2,2,0,1,11,0,0,7,6,3.0,Right,1.0,広島東洋カープ
今村　猛,21,1,1,0,1,2,0,0,0,0.5,115,26.0,24,1,13,0,0,22,1,0,14,10,3.46,Right,1.423,広島東洋カープ
江草　仁貴,7,0,0,0,0,0,0,0,0,0.0,35,8.0,7,0,4,0,1,7,0,0,2,2,2.25,Left,1.375,広島東洋カープ
大瀬良　大地,51,3,8,2,20,22,2,0,0,0.273,475,109.33333333333333,111,5,31,0,1,97,4,0,53,38,3.13,Right,1.299,広島東洋カープ
河内　貴哉,1,0,0,0,0,0,0,0,0,0.0,3,0.3333333333333333,2,0,0,0,0,0,0,0,1,1,27.0,Left,6.0,広島東洋カープ
九里　亜蓮,7,0,1,0,1,1,0,0,0,0.0,75,16.0,19,3,7,0,1,10,1,0,10,8,4.5,Right,1.625,広島東洋カープ
黒田　博樹,26,11,8,0,0,0,1,0,0,0.579,685,169.66666666666666,158,8,29,0,7,106,3,0,53,48,2.55,Right,1.102,広島東洋カープ
ザガースキー,19,0,0,0,6,6,0,0,0,0.0,66,15.0,13,1,7,0,0,16,0,0,5,4,2.4,Left,1.333,広島東洋カープ
ジョンソン,28,14,7,0,0,0,1,1,1,0.667,773,194.33333333333334,146,5,67,0,2,150,3,1,43,40,1.85,Left,1.096,広島東洋カープ
武内　久士,1,0,0,0,0,0,0,0,0,0.0,21,4.0,7,0,2,0,0,1,0,0,4,4,9.0,Right,2.25,広島東洋カープ
戸田　隆矢,34,3,3,0,5,7,0,0,0,0.5,273,62.0,59,4,29,0,0,44,2,1,31,25,3.63,Left,1.419,広島東洋カープ
永川　勝浩,26,1,1,0,9,10,0,0,0,0.5,119,26.333333333333332,27,2,14,0,3,27,0,0,14,14,4.78,Right,1.557,広島東洋カープ
中崎　翔太,69,0,6,29,11,11,0,0,0,0.0,300,73.0,65,4,23,0,1,61,0,0,20,19,2.34,Right,1.205,広島東洋カープ
中田　廉,5,1,0,0,0,1,0,0,0,1.0,20,5.0,4,0,3,1,0,4,0,0,0,0,0.0,Right,1.4,広島東洋カープ
中村　恭平,1,0,1,0,0,0,0,0,0,0.0,18,3.3333333333333335,7,1,1,0,0,3,0,0,5,4,10.8,Left,2.4,広島東洋カープ
西原　圭大,3,0,0,0,0,0,0,0,0,0.0,11,2.3333333333333335,3,0,0,0,1,3,0,0,0,0,0.0,Right,1.286,広島東洋カープ
野村　祐輔,15,5,8,0,0,0,0,0,0,0.385,384,87.33333333333333,110,11,23,0,3,51,1,0,53,45,4.64,Right,1.523,広島東洋カープ
ヒース,43,3,6,4,10,13,0,0,0,0.333,205,49.666666666666664,43,3,19,1,0,59,2,1,14,13,2.36,Right,1.248,広島東洋カープ
福井　優也,21,9,6,0,0,0,0,0,0,0.6,541,131.33333333333334,106,10,53,0,5,99,7,1,53,52,3.56,Right,1.211,広島東洋カープ
前田　健太,29,15,8,0,0,0,5,0,0,0.652,821,206.33333333333334,168,5,41,1,6,175,3,0,49,48,2.09,Right,1.013,広島東洋カープ
薮田　和樹,6,1,2,0,0,0,0,0,0,0.333,120,25.0,25,3,20,0,2,18,1,0,16,16,5.76,Right,1.8,広島東洋カープ
安部　建輝,5,0,1,0,0,0,0,0,0,0.0,38,9.333333333333334,6,1,6,0,0,6,1,0,3,3,2.89,Right,1.286,横浜DeNAベイスターズ
石田　健大,12,2,6,0,0,0,0,0,0,0.25,300,71.66666666666667,67,6,26,0,1,58,3,0,23,23,2.89,Left,1.298,横浜DeNAベイスターズ
井納　翔一,21,5,8,0,0,0,3,0,1,0.385,598,134.66666666666666,164,13,40,0,3,92,7,1,56,49,3.27,Right,1.515,横浜DeNAベイスターズ
エレラ,52,5,4,0,22,27,0,0,0,0.556,211,51.666666666666664,44,2,15,2,2,53,0,4,17,17,2.96,Right,1.142,横浜DeNAベイスターズ
大原　慎司,21,0,1,0,6,6,0,0,0,0.0,65,15.666666666666666,16,3,2,0,1,13,0,0,7,7,4.02,Left,1.149,横浜DeNAベイスターズ
岡島　秀樹,10,0,2,0,2,2,0,0,0,0.0,35,7.333333333333333,6,1,8,0,0,7,1,0,7,7,8.59,Left,1.909,横浜DeNAベイスターズ
長田　秀一郎,45,4,1,0,10,14,0,0,0,0.8,167,39.333333333333336,36,1,19,2,0,18,4,0,13,9,2.06,Right,1.398,横浜DeNAベイスターズ
加賀　繁,9,0,0,0,3,3,0,0,0,0.0,37,8.0,11,2,3,0,0,6,0,0,7,7,7.88,Right,1.75,横浜DeNAベイスターズ
国吉　佑樹,28,3,2,1,0,3,0,0,0,0.6,138,33.333333333333336,22,1,16,0,3,28,4,0,10,9,2.43,Right,1.14,横浜DeNAベイスターズ
久保　康友,21,8,7,0,0,0,2,1,1,0.533,523,122.33333333333333,130,16,27,0,5,88,3,1,64,56,4.12,Right,1.283,横浜DeNAベイスターズ
