Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
アンドリース,5,0,2,0,0,0,0,0,0,0.0,87,18.666666666666668,28,3,4,0,1,18,0,0,11,10,4.82,Right,1.714,読売ジャイアンツ
赤星　優志,31,5,5,0,5,5,0,0,0,0.5,347,78.0,81,8,32,1,4,52,0,0,50,35,4.04,Right,1.449,読売ジャイアンツ
井納　翔一,7,1,0,0,1,2,0,0,0,1.0,22,5.0,5,0,2,0,0,4,1,0,1,1,1.8,Right,1.4,読売ジャイアンツ
井上　温大,7,1,1,0,0,0,0,0,0,0.5,106,24.0,28,4,7,0,0,27,0,0,18,16,6.0,Left,1.458,読売ジャイアンツ
今村　信貴,55,2,4,0,21,23,0,0,0,0.333,227,53.0,45,3,22,1,4,34,1,0,24,21,3.57,Left,1.264,読売ジャイアンツ
大江　竜聖,3,0,0,0,0,0,0,0,0,0.0,26,5.333333333333333,5,1,3,0,1,5,0,0,2,1,1.69,Left,1.5,読売ジャイアンツ
鍵谷　陽平,21,2,0,0,3,5,0,0,0,1.0,74,17.0,21,4,5,0,0,9,0,0,8,7,3.71,Right,1.529,読売ジャイアンツ
菊地　大稀,16,0,2,0,0,0,0,0,0,0.0,82,17.666666666666668,16,2,13,0,1,21,2,0,13,11,5.6,Right,1.642,読売ジャイアンツ
クロール,21,1,1,1,5,6,0,0,0,0.5,89,21.0,17,1,10,0,1,15,2,0,10,9,3.86,Left,1.286,読売ジャイアンツ
鍬原　拓也,49,3,2,0,13,16,0,0,0,0.6,194,45.333333333333336,50,3,12,2,1,30,1,0,26,26,5.16,Right,1.368,読売ジャイアンツ
桜井　俊貴,8,2,0,0,0,2,0,0,0,1.0,46,8.333333333333334,13,3,6,0,2,9,1,0,13,13,14.04,Right,2.28,読売ジャイアンツ
シューメーカー,18,4,8,0,0,0,1,1,1,0.333,406,95.33333333333333,92,13,30,0,5,65,1,0,50,45,4.25,Right,1.28,読売ジャイアンツ
菅野　智之,23,10,7,0,0,0,0,0,0,0.588,596,147.0,138,15,26,1,6,104,2,0,52,51,3.12,Right,1.116,読売ジャイアンツ
大勢,57,1,3,37,8,9,0,0,0,0.25,221,57.0,38,7,13,0,3,60,1,0,17,13,2.05,Right,0.895,読売ジャイアンツ
高木　京介,17,0,1,0,2,2,0,0,0,0.0,86,19.333333333333332,19,1,8,0,0,13,1,0,9,6,2.79,Left,1.397,読売ジャイアンツ
高梨　雄平,59,2,0,0,25,27,0,0,0,1.0,195,46.333333333333336,32,1,19,2,4,44,1,0,13,11,2.14,Left,1.101,読売ジャイアンツ
髙橋　優貴,10,1,5,0,0,1,0,0,0,0.167,130,26.666666666666668,34,1,18,0,0,21,1,0,20,16,5.4,Left,1.95,読売ジャイアンツ
