Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
今村　信貴,12,5,2,0,0,0,0,0,0,0.714,260,62.666666666666664,53,8,21,0,2,55,0,0,23,22,3.16,Left,1.181,読売ジャイアンツ
大江　竜聖,43,3,0,0,9,12,0,0,0,1.0,156,37.666666666666664,21,5,22,1,5,30,0,0,15,13,3.11,Left,1.142,読売ジャイアンツ
大竹　寛,29,1,2,0,16,17,0,0,0,0.333,100,24.333333333333332,20,3,9,0,1,16,0,0,9,7,2.59,Right,1.192,読売ジャイアンツ
鍵谷　陽平,46,3,1,0,13,16,0,0,0,0.75,148,37.333333333333336,25,2,13,1,1,40,0,0,12,12,2.89,Right,1.018,読売ジャイアンツ
鍬原　拓也,5,1,0,0,0,1,0,0,0,1.0,32,7.0,6,0,5,0,1,6,0,0,5,5,6.43,Right,1.571,読売ジャイアンツ
サンチェス,15,8,4,0,0,0,0,0,0,0.667,363,87.66666666666667,74,8,34,1,0,59,0,0,35,30,3.08,Right,1.232,読売ジャイアンツ
桜井　俊貴,24,2,4,0,4,4,0,0,0,0.333,281,63.666666666666664,68,15,21,1,5,43,0,0,37,35,4.95,Right,1.398,読売ジャイアンツ
澤村　拓一,13,1,1,0,1,2,0,0,0,0.5,64,13.333333333333334,14,1,8,0,2,11,0,0,9,9,6.08,Right,1.65,読売ジャイアンツ
菅野　智之,20,14,2,0,0,0,3,3,0,0.875,532,137.33333333333334,97,8,25,0,7,131,2,0,33,30,1.97,Right,0.888,読売ジャイアンツ
高木　京介,17,0,1,1,4,4,0,0,0,0.0,49,12.333333333333334,11,1,2,0,0,12,2,0,5,5,3.65,Left,1.054,読売ジャイアンツ
高梨　雄平,44,1,1,2,21,22,0,0,0,0.5,141,37.333333333333336,17,2,13,0,6,37,1,1,10,8,1.93,Left,0.804,読売ジャイアンツ
髙橋　優貴,8,1,3,0,2,2,0,0,0,0.25,101,23.0,22,2,12,0,0,23,3,0,12,11,4.3,Left,1.478,読売ジャイアンツ
田口　麗斗,26,5,7,1,2,2,0,0,0,0.417,379,89.33333333333333,91,10,26,2,5,58,2,0,48,46,4.63,Left,1.31,読売ジャイアンツ
田中　豊樹,31,1,1,0,1,2,0,0,0,0.5,133,27.666666666666668,32,4,18,1,3,21,0,0,19,15,4.88,Right,1.807,読売ジャイアンツ
ディプラン,2,0,0,0,0,0,0,0,0,0.0,16,2.3333333333333335,7,3,2,0,1,2,1,0,5,5,19.29,Right,3.857,読売ジャイアンツ
デラロサ,35,2,0,17,5,7,0,0,0,1.0,132,31.666666666666668,23,3,16,0,3,28,1,0,9,9,2.56,Right,1.232,読売ジャイアンツ
戸郷　翔征,19,9,6,0,0,1,0,0,0,0.6,446,107.66666666666667,87,12,42,0,6,106,1,0,33,33,2.76,Right,1.198,読売ジャイアンツ
直江　大輔,3,0,0,0,0,0,0,0,0,0.0,49,12.0,10,2,3,0,1,11,0,0,4,4,3.0,Right,1.083,読売ジャイアンツ
中川　皓太,37,2,1,6,15,17,0,0,0,0.667,139,36.0,24,1,10,3,1,26,0,0,4,4,1.0,Left,0.944,読売ジャイアンツ
沼田　翔平,5,0,0,0,0,0,0,0,0,0.0,23,4.333333333333333,6,1,4,0,0,3,1,0,5,5,10.38,Right,2.308,読売ジャイアンツ
畠　世周,12,4,4,0,0,0,1,1,0,0.5,265,65.66666666666667,47,5,23,0,4,49,1,0,22,21,2.88,Right,1.066,読売ジャイアンツ
ビエイラ,27,0,1,0,2,2,0,0,0,0.0,118,24.666666666666668,27,3,17,1,2,29,1,0,9,9,3.28,Right,1.784,読売ジャイアンツ
藤岡　貴裕,12,0,0,0,0,0,0,0,0,0.0,39,8.666666666666666,7,1,6,1,1,6,1,0,3,3,3.12,Left,1.5,読売ジャイアンツ
古川　侑利,5,0,0,0,0,0,0,0,0,0.0,26,4.666666666666667,12,1,1,1,0,4,1,0,6,6,11.57,Right,2.786,読売ジャイアンツ
堀岡　隼人,12,0,0,0,1,1,0,0,0,0.0,62,12.666666666666666,16,2,8,0,0,11,0,0,13,11,7.82,Right,1.895,読売ジャイアンツ
増田　大輝,1,0,0,0,0,0,0,0,0,0.0,3,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,0.0,Right,1.5,読売ジャイアンツ
