Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
赤星　優志,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
石川　達也,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
泉口　友汰,17,70,64,10,19,3,0,3,31,7,2,0,0,0,6,0,0,11,1,.297,0.484,0.357,Left,0.841,読売ジャイアンツ
泉　圭輔,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
井上　温大,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ウィットリー,3,7,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,.000,0.0,0.143,Right,0.143,読売ジャイアンツ
宇都宮　葵星,5,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,0.5,0.5,Left,1.0,読売ジャイアンツ
浦田　俊輔,14,52,46,6,10,3,0,0,13,0,3,0,2,0,3,0,1,7,2,.217,0.283,0.28,Left,0.563,読売ジャイアンツ
大城　卓三,7,17,15,5,8,0,0,2,14,6,0,0,0,0,2,0,0,4,1,.533,0.933,0.588,Left,1.521,読売ジャイアンツ
門脇　誠,11,13,13,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.154,0.154,0.154,Left,0.308,読売ジャイアンツ
キャベッジ,17,68,67,11,20,4,0,3,33,8,0,1,0,0,0,0,1,21,0,.299,0.493,0.309,Left,0.802,読売ジャイアンツ
岸田　行倫,11,42,38,0,7,0,0,0,7,4,0,0,1,2,1,0,0,8,1,.184,0.184,0.195,Right,0.379,読売ジャイアンツ
北浦　竜次,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
坂本　勇人,11,30,27,2,3,0,0,1,6,1,0,0,0,0,3,0,0,5,1,.111,0.222,0.2,Right,0.422,読売ジャイアンツ
佐々木　俊輔,14,38,37,4,10,2,0,1,15,3,0,1,0,0,1,0,0,12,0,.270,0.405,0.289,Left,0.694,読売ジャイアンツ
ダルベック,16,65,57,7,14,5,0,4,31,11,0,0,0,0,7,0,1,23,1,.246,0.544,0.338,Right,0.882,読売ジャイアンツ
大勢,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
竹丸　和幸,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
田中　瑛斗,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
田中　将大,3,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
田和　廉,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
中川　皓太,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中山　礼都,12,37,34,1,5,1,0,0,6,1,0,0,0,0,3,0,0,6,1,.147,0.176,0.216,Left,0.392,読売ジャイアンツ
則本　昂大,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ハワード,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
平山　功太,4,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.111,0.111,0.111,Right,0.222,読売ジャイアンツ
船迫　大雅,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
マタ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
マルティネス,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
増田　陸,14,42,42,2,13,4,0,1,20,7,0,0,0,0,0,0,0,8,1,.310,0.476,0.31,Right,0.786,読売ジャイアンツ
又木　鉄平,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
松本　剛,16,51,45,5,11,1,0,0,12,2,2,2,2,0,4,0,0,9,0,.244,0.267,0.306,Right,0.573,読売ジャイアンツ
丸　佳浩,7,12,11,1,1,1,0,0,2,4,0,0,0,0,1,0,0,1,0,.091,0.182,0.167,Left,0.349,読売ジャイアンツ
皆川　岳飛,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
山城　京平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
山瀬　慎之助,4,9,9,1,2,1,0,1,6,1,0,0,0,0,0,0,0,5,0,.222,0.667,0.222,Right,0.889,読売ジャイアンツ
ルシアーノ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
若林　楽人,7,9,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,.222,0.222,0.222,Right,0.444,読売ジャイアンツ
石黒　佑弥,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
伊藤　将司,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,2.0,1.0,Left,3.0,阪神タイガース
糸原　健斗,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,.000,0.0,0.0,Left,0.0,阪神タイガース
伊原　陵人,2,5,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,.250,0.25,0.25,Left,0.5,阪神タイガース
茨木　秀俊,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Right,0.0,阪神タイガース
岩崎　優,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
植田　海,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,0.0,0.0,Switch,0.0,阪神タイガース
大竹　耕太郎,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,阪神タイガース
大山　悠輔,18,75,63,3,18,3,0,1,24,5,0,0,0,1,10,1,1,7,5,.286,0.381,0.387,Right,0.768,阪神タイガース
岡城　快生,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
小幡　竜平,9,22,19,1,5,0,0,0,5,1,0,1,1,0,1,1,1,4,0,.263,0.263,0.333,Left,0.596,阪神タイガース
及川　雅貴,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
木浪　聖也,16,53,48,5,15,1,0,1,19,8,0,1,0,0,4,0,1,13,0,.313,0.396,0.377,Left,0.773,阪神タイガース
木下　里都,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
桐敷　拓馬,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
熊谷　敬宥,8,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
才木　浩人,3,7,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,.000,0.0,0.2,Right,0.2,阪神タイガース
坂本　誠志郎,15,49,41,3,9,2,1,0,13,5,1,0,1,2,4,0,1,14,2,.220,0.317,0.292,Right,0.609,阪神タイガース
佐藤　輝明,18,76,67,17,26,9,1,4,49,16,1,1,0,1,8,0,0,17,2,.388,0.731,0.447,Left,1.178,阪神タイガース
嶋村　麟士朗,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
髙寺　望夢,13,20,15,3,2,0,0,0,2,3,1,0,0,1,4,0,0,3,0,.133,0.133,0.3,Left,0.433,阪神タイガース
髙橋　遥人,3,10,6,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,0,.167,0.167,0.167,Left,0.334,阪神タイガース
近本　光司,18,80,69,8,17,2,0,0,19,3,6,1,0,1,10,0,0,15,1,.246,0.275,0.338,Left,0.613,阪神タイガース
ドリス,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
中川　勇斗,9,22,18,1,1,1,0,0,2,2,0,0,1,0,3,0,0,3,2,.056,0.111,0.19,Right,0.301,阪神タイガース
中野　拓夢,18,80,73,11,20,6,0,0,26,6,3,1,2,2,3,0,0,14,1,.274,0.356,0.295,Left,0.651,阪神タイガース
濱田　太貴,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,阪神タイガース
早川　太貴,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
福島　圭音,9,24,23,2,7,2,0,0,9,0,0,1,0,0,0,0,1,3,0,.304,0.391,0.333,Left,0.724,阪神タイガース
伏見　寅威,9,22,18,1,1,0,0,0,1,3,0,0,0,1,1,0,2,6,0,.056,0.056,0.182,Right,0.238,阪神タイガース
前川　右京,6,18,17,1,6,2,0,0,8,2,0,0,0,0,1,0,0,4,0,.353,0.471,0.389,Left,0.86,阪神タイガース
村上　頌樹,4,9,8,1,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,.125,0.125,0.125,Left,0.25,阪神タイガース
モレッタ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
森下　翔太,18,79,71,12,22,2,0,7,45,14,1,0,0,1,7,0,0,12,1,.310,0.634,0.367,Right,1.001,阪神タイガース
湯浅　京己,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
ルーカス,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,0.0,0.0,Left,0.0,阪神タイガース
