Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
赤星　優志,21,16,12,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
秋広　優人,26,48,46,5,12,1,0,0,13,1,1,0,0,0,2,0,0,12,1,.261,0.283,0.292,Left,0.575,読売ジャイアンツ
浅野　翔吾,40,158,146,18,35,11,2,3,59,18,1,0,2,1,7,1,2,27,2,.240,0.404,0.282,Right,0.686,読売ジャイアンツ
泉口　友汰,66,185,164,10,33,6,1,1,44,9,1,0,3,0,18,1,0,24,2,.201,0.268,0.28,Left,0.548,読売ジャイアンツ
泉　圭輔,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
伊藤　優輔,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
井上　温大,25,34,28,1,4,0,0,0,4,2,0,0,5,0,1,0,0,9,0,.143,0.143,0.172,Left,0.315,読売ジャイアンツ
今村　信貴,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ウレーニャ,7,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,.000,0.0,0.125,Right,0.125,読売ジャイアンツ
オコエ　瑠偉,68,157,138,16,36,9,0,3,54,13,4,0,8,1,9,0,1,35,3,.261,0.391,0.309,Right,0.7,読売ジャイアンツ
大江　竜聖,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,96,321,283,19,72,17,0,3,98,27,0,0,0,4,31,2,3,62,3,.254,0.346,0.33,Left,0.676,読売ジャイアンツ
岡田　悠希,4,9,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,.143,0.143,0.333,Left,0.476,読売ジャイアンツ
岡本　和真,143,611,535,70,150,37,0,27,268,83,1,1,0,5,66,10,5,97,5,.280,0.501,0.362,Right,0.863,読売ジャイアンツ
梶谷　隆幸,6,17,16,2,3,0,0,1,6,2,0,0,0,0,1,0,0,4,1,.188,0.375,0.235,Left,0.61,読売ジャイアンツ
門脇　誠,129,405,350,29,85,9,1,0,96,21,9,3,16,0,37,7,2,63,3,.243,0.274,0.319,Left,0.593,読売ジャイアンツ
岸田　行倫,88,298,269,22,65,10,1,4,89,26,2,2,9,2,14,0,4,43,11,.242,0.331,0.287,Right,0.618,読売ジャイアンツ
喜多　隆介,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
京本　眞,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
グリフィン,20,35,30,0,3,2,0,0,5,2,0,0,5,0,0,0,0,11,0,.100,0.167,0.1,Left,0.267,読売ジャイアンツ
ケラー,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
郡　拓也,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
小林　誠司,42,123,105,4,16,3,0,1,22,8,1,0,7,0,9,2,2,18,1,.152,0.21,0.233,Right,0.443,読売ジャイアンツ
坂本　勇人,109,426,395,34,94,14,0,7,129,34,1,0,0,3,27,1,1,72,14,.238,0.327,0.286,Right,0.613,読売ジャイアンツ
佐々木　俊輔,59,156,143,13,33,5,1,0,40,6,2,1,3,1,9,0,0,44,3,.231,0.28,0.275,Left,0.555,読売ジャイアンツ
重信　慎之介,33,18,15,6,1,0,0,0,1,0,6,1,0,0,3,0,0,6,0,.067,0.067,0.222,Left,0.289,読売ジャイアンツ
菅野　智之,24,53,45,1,4,0,0,0,4,0,0,0,6,0,2,0,0,26,1,.089,0.089,0.128,Right,0.217,読売ジャイアンツ
大勢,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
高梨　雄平,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
高橋　礼,11,13,13,1,2,0,0,0,2,0,0,0,0,0,0,0,0,5,0,.154,0.154,0.154,Right,0.308,読売ジャイアンツ
立岡　宗一郎,48,99,84,12,18,0,0,0,18,8,3,2,4,0,11,1,0,19,0,.214,0.214,0.305,Left,0.519,読売ジャイアンツ
田中　千晴,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
長野　久義,54,98,89,5,23,3,1,0,28,14,1,1,0,0,9,1,0,25,2,.258,0.315,0.327,Right,0.642,読売ジャイアンツ
戸郷　翔征,26,56,39,1,2,0,0,0,2,2,0,0,16,0,1,0,0,21,1,.051,0.051,0.075,Right,0.126,読売ジャイアンツ
中川　皓太,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中山　礼都,32,48,44,2,14,3,0,0,17,2,0,0,0,0,4,0,0,12,1,.318,0.386,0.375,Left,0.761,読売ジャイアンツ
西舘　勇陽,28,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
バルドナード,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
萩尾　匡也,56,163,149,13,32,8,2,2,50,12,0,2,1,1,11,1,1,41,4,.215,0.336,0.272,Right,0.608,読売ジャイアンツ
畠　世周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
馬場　皐輔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
船迫　大雅,51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
