Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
相川　亮二,29,40,38,0,6,1,0,0,7,3,0,0,0,1,1,0,0,9,1,.158,0.184,0.175,Right,0.359,読売ジャイアンツ
阿部　慎之助,129,512,455,41,119,13,0,15,177,76,0,1,1,7,41,1,8,67,13,.262,0.389,0.329,Left,0.718,読売ジャイアンツ
池田　駿,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
石川　慎吾,99,251,236,21,57,12,3,5,90,20,2,0,0,0,13,0,2,51,8,.242,0.381,0.287,Right,0.668,読売ジャイアンツ
乾　真大,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
今村　信貴,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.0,1.0,Left,2.0,読売ジャイアンツ
宇佐見　真吾,21,45,40,6,14,0,0,4,26,8,0,0,0,0,3,0,2,14,0,.350,0.65,0.422,Left,1.072,読売ジャイアンツ
内海　哲也,12,18,16,1,1,0,0,0,1,1,0,0,2,0,0,0,0,9,0,.063,0.063,0.063,Left,0.126,読売ジャイアンツ
江柄子　裕樹,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
大竹　寛,13,26,19,0,0,0,0,0,0,1,0,0,6,0,1,0,0,13,0,.000,0.0,0.05,Right,0.05,読売ジャイアンツ
岡本　和真,15,35,31,2,6,1,0,0,7,2,0,0,0,0,4,0,0,10,0,.194,0.226,0.286,Right,0.512,読売ジャイアンツ
カミネロ,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
亀井　善行,109,277,247,20,62,16,0,6,96,47,1,0,0,2,27,1,1,38,4,.251,0.389,0.325,Left,0.714,読売ジャイアンツ
クルーズ,9,33,32,2,5,1,0,0,6,3,0,0,0,1,0,0,0,3,1,.156,0.188,0.152,Right,0.34,読売ジャイアンツ
小林　誠司,138,443,378,25,78,11,1,2,97,27,2,0,19,3,41,4,2,64,12,.206,0.257,0.285,Right,0.542,読売ジャイアンツ
坂本　勇人,142,614,539,82,157,30,0,15,232,61,14,6,1,3,68,2,3,85,16,.291,0.43,0.372,Right,0.802,読売ジャイアンツ
桜井　俊貴,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
實松　一成,14,13,8,1,0,0,0,0,0,0,0,0,1,0,2,1,2,6,0,.000,0.0,0.333,Right,0.333,読売ジャイアンツ
重信　慎之介,74,77,70,18,11,4,0,0,15,2,10,4,1,0,6,0,0,21,0,.157,0.214,0.224,Left,0.438,読売ジャイアンツ
篠原　慎平,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
菅野　智之,25,63,54,4,9,0,0,0,9,0,0,0,6,0,3,0,0,13,2,.167,0.167,0.211,Right,0.378,読売ジャイアンツ
高木　勇人,16,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.200,0.2,0.2,Right,0.4,読売ジャイアンツ
田口　麗斗,26,58,47,1,4,0,0,0,4,2,0,0,10,0,1,0,0,18,0,.085,0.085,0.104,Left,0.189,読売ジャイアンツ
立岡　宗一郎,62,214,197,24,41,3,3,0,50,10,4,5,6,0,11,0,0,43,1,.208,0.254,0.25,Left,0.504,読売ジャイアンツ
谷岡　竜平,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
田原　誠次,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
長野　久義,134,516,463,52,121,20,3,16,195,46,6,0,1,1,46,2,5,98,17,.261,0.421,0.334,Right,0.755,読売ジャイアンツ
辻　東倫,18,36,32,3,8,0,0,0,8,1,1,0,0,0,4,0,0,7,1,.250,0.25,0.333,Left,0.583,読売ジャイアンツ
寺内　崇幸,83,34,25,7,6,3,1,1,14,6,1,0,5,0,3,0,1,8,0,.240,0.56,0.345,Right,0.905,読売ジャイアンツ
戸根　千明,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中井　大介,90,254,229,32,57,12,1,5,86,15,2,1,4,1,19,0,1,44,5,.249,0.376,0.308,Right,0.684,読売ジャイアンツ
中川　皓太,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
西村　健太朗,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
