Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
赤星　優志,22,6,9,0,0,0,1,1,1,0.4,488,121.0,110,12,19,3,5,88,0,0,42,36,2.68,Right,1.066,読売ジャイアンツ
石川　達也,41,5,4,0,3,7,0,0,0,0.556,247,59.0,54,2,19,2,1,46,1,0,16,14,2.14,Left,1.237,読売ジャイアンツ
泉　圭輔,10,0,0,0,0,0,0,0,0,0.0,59,12.333333333333334,14,2,6,0,2,12,1,0,9,8,5.84,Right,1.622,読売ジャイアンツ
井上　温大,20,4,8,0,0,0,0,0,0,0.333,453,107.0,115,15,19,1,2,100,0,0,48,44,3.7,Left,1.252,読売ジャイアンツ
菊地　大稀,7,1,1,0,0,1,0,0,0,0.5,41,10.0,7,1,4,1,0,16,0,0,3,2,1.8,Right,1.1,読売ジャイアンツ
グリフィン,14,6,1,0,0,0,0,0,0,0.857,307,78.0,56,1,18,2,5,77,1,0,15,14,1.62,Left,0.949,読売ジャイアンツ
ケラー,45,1,1,0,6,7,0,0,0,0.5,186,46.333333333333336,27,5,22,1,0,49,0,0,16,16,3.11,Right,1.058,読売ジャイアンツ
大勢,62,8,4,1,46,54,0,0,0,0.667,244,59.666666666666664,47,4,14,4,4,60,3,0,14,14,2.11,Right,1.022,読売ジャイアンツ
高梨　雄平,21,0,1,0,5,5,0,0,0,0.0,74,15.0,14,0,14,3,3,16,0,1,6,6,3.6,Left,1.867,読売ジャイアンツ
田中　瑛斗,62,1,3,0,36,37,0,0,0,0.25,208,50.666666666666664,45,3,20,9,2,38,0,0,13,12,2.13,Right,1.283,読売ジャイアンツ
田中　将大,10,3,4,0,0,0,0,0,0,0.429,209,45.0,53,4,21,2,1,29,1,0,30,25,5.0,Right,1.644,読売ジャイアンツ
戸郷　翔征,21,8,9,0,0,1,0,0,0,0.471,497,111.0,124,8,46,1,2,87,2,0,58,51,4.14,Right,1.532,読売ジャイアンツ
戸田　懐生,2,0,1,0,0,0,0,0,0,0.0,12,2.6666666666666665,3,0,1,1,0,0,0,0,1,1,3.38,Right,1.5,読売ジャイアンツ
中川　皓太,63,2,4,0,36,38,0,0,0,0.333,225,52.333333333333336,55,4,12,2,3,57,0,0,16,13,2.24,Left,1.28,読売ジャイアンツ
西舘　勇陽,15,2,3,0,1,1,0,0,0,0.4,228,53.333333333333336,58,6,11,1,2,45,1,0,26,25,4.22,Right,1.294,読売ジャイアンツ
バルドナード,19,1,0,0,6,7,0,0,0,1.0,58,13.666666666666666,8,0,10,0,0,13,1,0,5,5,3.29,Left,1.317,読売ジャイアンツ
馬場　皐輔,8,0,0,0,0,0,0,0,0,0.0,32,7.333333333333333,6,0,4,0,0,5,1,0,4,3,3.68,Right,1.364,読売ジャイアンツ
船迫　大雅,57,2,3,0,17,19,0,0,0,0.4,190,48.0,34,8,14,5,2,43,0,0,15,15,2.81,Right,1.0,読売ジャイアンツ
平内　龍太,12,1,1,0,1,2,0,0,0,0.5,63,15.666666666666666,18,1,1,0,0,9,0,0,10,10,5.74,Right,1.213,読売ジャイアンツ
堀田　賢慎,8,0,1,0,0,0,0,0,0,0.0,99,22.333333333333332,23,4,11,0,1,13,0,0,13,13,5.24,Right,1.522,読売ジャイアンツ
マルティネス,58,3,2,46,3,6,0,0,0,0.6,211,56.666666666666664,32,3,11,3,0,65,1,0,7,7,1.11,Right,0.759,読売ジャイアンツ
又木　鉄平,5,0,1,0,0,0,0,0,0,0.0,58,13.333333333333334,16,1,2,1,1,8,1,0,7,7,4.73,Left,1.35,読売ジャイアンツ
宮原　駿介,14,0,0,0,2,2,0,0,0,0.0,59,14.666666666666666,12,2,4,1,0,14,0,0,6,6,3.68,Left,1.091,読売ジャイアンツ
