Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
赤星　優志,21,1,7,0,1,1,0,0,0,0.125,291,75.0,66,8,10,0,2,43,1,0,28,26,3.12,Right,1.013,読売ジャイアンツ
泉　圭輔,35,2,0,1,5,7,0,0,0,1.0,149,37.333333333333336,28,0,11,2,4,30,1,0,10,8,1.93,Right,1.045,読売ジャイアンツ
伊藤　優輔,8,0,0,0,1,1,0,0,0,0.0,32,8.666666666666666,5,0,3,0,1,8,0,0,1,1,1.04,Right,0.923,読売ジャイアンツ
井上　温大,25,8,5,0,2,3,0,0,0,0.615,413,101.0,87,5,27,1,3,99,3,0,33,31,2.76,Left,1.129,読売ジャイアンツ
今村　信貴,7,0,0,0,0,0,0,0,0,0.0,30,8.0,6,0,1,0,1,7,0,0,2,2,2.25,Left,0.875,読売ジャイアンツ
大江　竜聖,16,0,0,0,5,5,0,0,0,0.0,56,13.666666666666666,9,1,8,0,0,13,0,0,4,4,2.63,Left,1.244,読売ジャイアンツ
京本　眞,4,0,0,0,0,0,0,0,0,0.0,20,5.0,4,0,2,1,1,3,0,0,2,2,3.6,Right,1.2,読売ジャイアンツ
グリフィン,20,6,4,0,0,0,0,0,0,0.6,468,116.66666666666667,99,9,23,0,4,126,0,1,40,39,3.01,Left,1.046,読売ジャイアンツ
ケラー,52,2,2,1,20,22,0,0,0,0.5,183,47.0,24,5,19,1,0,54,0,0,10,8,1.53,Right,0.915,読売ジャイアンツ
菅野　智之,24,15,3,0,0,0,3,1,3,0.833,608,156.66666666666666,132,6,16,0,4,111,4,0,31,29,1.67,Right,0.945,読売ジャイアンツ
大勢,43,1,2,29,5,6,0,0,0,0.333,161,41.0,28,0,8,2,0,54,1,0,4,4,0.88,Right,0.878,読売ジャイアンツ
高梨　雄平,51,4,3,0,25,29,0,0,0,0.571,145,35.333333333333336,26,1,15,2,0,29,1,0,9,8,2.04,Left,1.16,読売ジャイアンツ
高橋　礼,11,2,2,0,0,0,1,0,0,0.5,199,46.666666666666664,42,3,21,1,1,22,1,0,20,19,3.66,Right,1.35,読売ジャイアンツ
田中　千晴,3,0,0,0,0,0,0,0,0,0.0,14,4.0,2,0,0,0,0,4,0,0,0,0,0.0,Right,0.5,読売ジャイアンツ
戸郷　翔征,26,12,8,0,0,0,4,3,1,0.6,703,180.0,129,12,44,3,7,156,3,0,39,39,1.95,Right,0.961,読売ジャイアンツ
中川　皓太,15,0,2,0,7,7,0,0,0,0.0,60,12.333333333333334,19,3,3,0,0,7,0,0,12,12,8.76,Left,1.784,読売ジャイアンツ
西舘　勇陽,28,1,3,1,20,21,0,0,0,0.25,126,30.666666666666668,22,2,14,0,0,25,0,0,14,13,3.82,Right,1.174,読売ジャイアンツ
バルドナード,58,2,3,9,26,28,0,0,0,0.4,220,51.666666666666664,40,1,28,1,0,63,2,0,15,14,2.44,Left,1.316,読売ジャイアンツ
畠　世周,1,0,0,0,0,0,0,0,0,0.0,10,3.0,1,1,0,0,0,3,0,0,1,1,3.0,Right,0.333,読売ジャイアンツ
馬場　皐輔,1,0,0,0,0,0,0,0,0,0.0,3,0.6666666666666666,1,0,0,0,0,1,0,0,0,0,0.0,Right,1.5,読売ジャイアンツ
船迫　大雅,51,4,0,0,22,26,0,0,0,1.0,150,38.0,28,4,8,2,3,23,0,0,12,10,2.37,Right,0.947,読売ジャイアンツ
平内　龍太,31,1,2,0,2,3,0,0,0,0.333,140,33.333333333333336,35,4,6,1,1,22,2,0,11,8,2.16,Right,1.23,読売ジャイアンツ
堀田　賢慎,17,3,3,0,0,1,0,0,0,0.5,200,51.333333333333336,43,2,13,0,2,30,0,0,14,14,2.45,Right,1.091,読売ジャイアンツ
又木　鉄平,3,0,1,0,0,0,0,0,0,0.0,51,10.333333333333334,11,2,10,0,0,7,0,0,7,7,6.1,Left,2.032,読売ジャイアンツ
松井　颯,2,0,0,0,0,0,0,0,0,0.0,9,1.3333333333333333,2,1,3,0,0,1,0,0,2,2,13.5,Right,3.75,読売ジャイアンツ
メンデス,2,0,2,0,0,0,0,0,0,0.0,27,4.333333333333333,6,0,7,0,0,4,0,0,8,6,12.46,Left,3.0,読売ジャイアンツ
山﨑　伊織,24,10,6,0,0,0,1,1,0,0.625,621,147.33333333333334,140,8,42,1,10,103,2,0,48,46,2.81,Right,1.235,読売ジャイアンツ
横川　凱,12,3,1,0,0,2,0,0,0,0.75,111,28.666666666666668,23,0,10,1,0,9,0,0,4,3,0.94,Left,1.151,読売ジャイアンツ
青柳　晃洋,12,2,3,0,0,0,0,0,0,0.4,269,61.0,66,2,21,1,6,35,1,1,31,25,3.69,Right,1.426,阪神タイガース
石井　大智,56,4,1,1,30,34,0,0,0,0.8,189,48.666666666666664,34,0,14,4,0,58,5,0,12,8,1.48,Right,0.986,阪神タイガース
石黒　佑弥,3,0,0,0,0,0,0,0,0,0.0,16,3.3333333333333335,6,0,1,0,0,3,0,0,2,2,5.4,Right,2.1,阪神タイガース
伊藤　将司,18,4,5,0,0,0,1,0,1,0.444,323,74.0,90,5,16,0,2,33,1,0,46,38,4.62,Left,1.432,阪神タイガース
岩崎　優,60,4,4,23,17,21,0,0,0,0.5,231,57.333333333333336,48,3,15,1,0,46,1,0,14,14,2.2,Left,1.099,阪神タイガース
岩貞　祐太,2,0,1,0,0,0,0,0,0,0.0,9,1.6666666666666665,1,0,2,1,1,2,0,0,2,1,5.4,Left,1.8,阪神タイガース
漆原　大晟,38,1,4,0,5,6,0,0,0,0.2,153,34.666666666666664,38,0,17,0,0,22,0,0,16,15,3.89,Right,1.587,阪神タイガース
大竹　耕太郎,24,11,7,0,0,0,0,0,0,0.611,587,144.66666666666666,134,8,33,1,1,91,1,0,47,45,2.8,Left,1.154,阪神タイガース
岡留　英貴,35,1,0,1,6,7,0,0,0,1.0,163,38.0,36,1,11,1,2,24,0,0,16,12,2.84,Right,1.237,阪神タイガース
及川　雅貴,9,1,3,0,0,0,1,0,0,0.25,121,29.333333333333332,25,2,10,1,0,23,2,0,11,9,2.76,Left,1.193,阪神タイガース
加治屋　蓮,13,2,0,0,1,3,0,0,0,1.0,54,12.0,11,0,7,1,1,12,2,0,8,6,4.5,Right,1.5,阪神タイガース
川原　陸,1,0,0,0,0,0,0,0,0,0.0,5,1.0,1,0,1,0,0,2,0,0,0,0,0.0,Left,2.0,阪神タイガース
桐敷　拓馬,70,3,1,0,40,43,0,0,0,0.75,263,65.33333333333333,48,0,18,5,4,60,1,0,14,13,1.79,Left,1.01,阪神タイガース
ゲラ,59,1,4,14,31,32,0,0,0,0.2,226,58.0,47,3,11,1,0,48,2,2,10,10,1.55,Right,1.0,阪神タイガース
才木　浩人,25,13,3,0,0,0,4,3,1,0.813,671,167.66666666666666,140,4,38,2,0,137,4,0,35,34,1.83,Right,1.062,阪神タイガース
佐藤　蓮,1,0,0,0,0,0,0,0,0,0.0,3,1.0,0,0,0,0,0,1,0,0,0,0,0.0,Right,0.0,阪神タイガース
島本　浩也,33,2,1,0,6,8,0,0,0,0.667,113,25.666666666666668,27,1,10,0,1,10,1,0,9,8,2.81,Left,1.442,阪神タイガース
髙橋　遥人,5,4,1,0,0,0,0,0,0,0.8,114,29.666666666666668,20,0,4,0,1,28,1,0,5,5,1.52,Left,0.809,阪神タイガース
富田　蓮,33,0,1,0,4,4,0,0,0,0.0,142,35.666666666666664,26,1,5,1,2,22,1,1,7,3,0.76,Left,0.869,阪神タイガース
西　純矢,4,0,1,0,0,0,0,0,0,0.0,28,6.666666666666667,5,0,3,1,0,0,0,0,2,2,2.7,Right,1.2,阪神タイガース
西　勇輝,21,6,7,0,0,0,1,1,1,0.462,511,124.66666666666667,113,5,23,2,5,71,0,0,39,31,2.24,Right,1.091,阪神タイガース
浜地　真澄,18,0,0,0,0,0,0,0,0,0.0,83,21.333333333333332,17,2,2,1,0,9,1,0,6,5,2.11,Right,0.891,阪神タイガース
ビーズリー,14,8,3,0,0,0,1,0,0,0.727,305,76.66666666666667,53,6,24,0,5,75,4,0,23,21,2.47,Right,1.004,阪神タイガース
村上　頌樹,25,7,11,0,0,0,2,0,1,0.389,635,153.66666666666666,143,7,33,2,2,130,5,0,57,44,2.58,Right,1.145,阪神タイガース
門別　啓人,5,0,2,0,0,0,0,0,0,0.0,54,12.0,15,1,4,0,0,8,2,0,8,6,4.5,Left,1.583,阪神タイガース
アドゥワ　誠,20,6,4,0,0,0,1,1,0,0.6,452,106.33333333333333,102,9,29,2,5,61,0,0,43,37,3.13,Right,1.232,広島東洋カープ
遠藤　淳志,3,0,0,0,0,0,0,0,0,0.0,17,4.0,5,0,3,0,0,0,0,0,2,2,4.5,Right,2.0,広島東洋カープ
大瀬良　大地,25,6,6,0,0,0,2,1,0,0.5,627,155.0,118,5,49,3,3,98,0,0,37,32,1.86,Right,1.077,広島東洋カープ
大道　温貴,4,0,0,0,0,0,0,0,0,0.0,22,4.333333333333333,9,3,0,0,0,2,0,0,5,5,10.38,Right,2.077,広島東洋カープ
河野　佳,13,0,0,1,0,0,0,0,0,0.0,72,16.666666666666668,20,1,4,0,1,17,0,0,4,4,2.16,Right,1.44,広島東洋カープ
九里　亜蓮,23,7,10,0,0,0,1,1,0,0.412,529,131.66666666666666,115,12,29,2,4,95,1,0,49,47,3.21,Right,1.094,広島東洋カープ
栗林　良吏,60,0,6,38,12,12,0,0,0,0.0,214,55.0,33,3,16,2,2,65,3,0,14,12,1.96,Right,0.891,広島東洋カープ
黒原　拓未,53,4,3,0,3,7,0,0,0,0.571,244,59.666666666666664,40,2,20,0,3,67,0,0,15,14,2.11,Left,1.006,広島東洋カープ
ケムナ　誠,5,0,0,0,0,0,0,0,0,0.0,25,5.0,6,0,5,0,0,5,0,0,1,1,1.8,Right,2.2,広島東洋カープ
コルニエル,16,0,0,0,0,0,0,0,0,0.0,71,17.0,15,1,7,0,0,14,0,0,7,5,2.65,Right,1.294,広島東洋カープ
島内　颯太郎,58,11,6,0,24,35,0,0,0,0.647,238,55.333333333333336,43,2,27,2,2,53,4,0,20,17,2.77,Right,1.265,広島東洋カープ
髙　太一,1,0,0,0,1,1,0,0,0,0.0,8,2.0,1,0,1,0,0,2,0,0,0,0,0.0,Left,1.0,広島東洋カープ
高橋　昂也,1,0,0,1,0,0,0,0,0,0.0,3,1.0,0,0,0,0,0,1,0,0,0,0,0.0,Left,0.0,広島東洋カープ
滝田　一希,1,1,0,0,0,1,0,0,0,1.0,18,4.0,2,0,4,0,0,5,0,0,1,1,2.25,Left,1.5,広島東洋カープ
玉村　昇悟,15,4,5,0,0,0,2,0,1,0.444,311,76.0,77,3,11,0,2,58,1,0,32,25,2.96,Left,1.158,広島東洋カープ
常廣　羽也斗,2,1,0,0,0,0,0,0,0,1.0,52,11.0,15,0,4,0,1,7,1,0,3,3,2.45,Right,1.727,広島東洋カープ
床田　寛樹,26,11,9,0,0,0,0,0,0,0.55,693,167.0,170,9,48,4,4,95,0,0,52,46,2.48,Left,1.305,広島東洋カープ
中﨑　翔太,24,1,1,0,3,4,0,0,0,0.5,94,23.0,24,1,2,0,1,16,1,0,5,5,1.96,Right,1.13,広島東洋カープ
野村　祐輔,3,0,1,0,0,0,0,0,0,0.0,46,11.0,11,1,2,0,0,8,0,0,4,3,2.45,Right,1.182,広島東洋カープ
ハーン,35,0,1,2,17,17,0,0,0,0.0,129,35.0,18,1,7,0,0,26,0,0,5,5,1.29,Left,0.714,広島東洋カープ
