Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
赤星　優志,12,5,5,0,0,0,0,0,0,0.5,281,69.0,70,5,13,1,4,64,0,0,27,26,3.39,Right,1.203,読売ジャイアンツ
井上　温大,4,0,1,0,0,0,0,0,0,0.0,60,12.333333333333334,21,2,3,0,1,11,0,0,15,15,10.95,Left,1.946,読売ジャイアンツ
今村　信貴,24,0,0,0,2,2,0,0,0,0.0,119,26.0,29,1,11,1,1,13,1,0,12,11,3.81,Left,1.538,読売ジャイアンツ
大江　竜聖,32,4,0,0,6,10,0,0,0,1.0,89,22.0,15,3,10,0,2,16,1,0,10,10,4.09,Left,1.136,読売ジャイアンツ
鍵谷　陽平,13,2,0,1,2,4,0,0,0,1.0,48,11.333333333333334,10,1,5,0,0,11,0,0,4,4,3.18,Right,1.324,読売ジャイアンツ
菊地　大稀,50,4,4,1,11,15,0,0,0,0.5,193,47.666666666666664,40,4,16,1,1,55,0,0,19,18,3.4,Right,1.175,読売ジャイアンツ
北村　拓己,1,0,0,0,0,0,0,0,0,0.0,4,1.0,1,1,0,0,0,0,0,0,1,1,9.0,Right,1.0,読売ジャイアンツ
グリフィン,20,6,5,0,0,0,1,0,0,0.545,493,121.0,101,8,29,1,6,115,2,1,41,37,2.75,Left,1.074,読売ジャイアンツ
鍬原　拓也,5,0,0,0,1,1,0,0,0,0.0,27,5.0,7,0,3,0,2,4,0,0,5,5,9.0,Right,2.0,読売ジャイアンツ
代木　大和,13,0,0,0,0,0,0,0,0,0.0,76,16.666666666666668,23,2,6,0,2,15,0,0,10,10,5.4,Left,1.74,読売ジャイアンツ
菅野　智之,14,4,8,0,0,0,0,0,0,0.333,315,77.66666666666667,70,10,15,0,3,54,0,0,30,29,3.36,Right,1.094,読売ジャイアンツ
鈴木　康平,33,1,1,0,13,14,0,0,0,0.5,123,27.333333333333332,24,6,14,0,3,26,5,1,20,20,6.59,Right,1.39,読売ジャイアンツ
大勢,27,3,0,14,1,4,0,0,0,1.0,116,26.0,26,4,11,0,1,34,1,0,13,13,4.5,Right,1.423,読売ジャイアンツ
高木　京介,1,0,0,0,0,0,0,0,0,0.0,8,2.0,1,0,0,0,1,1,0,0,0,0,0.0,Left,0.5,読売ジャイアンツ
高梨　雄平,55,2,1,0,23,25,0,0,0,0.667,185,43.0,32,7,19,3,4,49,0,1,21,20,4.19,Left,1.186,読売ジャイアンツ
髙橋　優貴,6,0,1,0,0,0,0,0,0,0.0,68,14.0,18,2,8,0,2,9,1,0,9,8,5.14,Left,1.857,読売ジャイアンツ
田中　千晴,30,2,3,0,3,5,0,0,0,0.4,148,32.666666666666664,30,4,19,0,0,41,1,0,22,20,5.51,Right,1.5,読売ジャイアンツ
田中　豊樹,15,0,1,0,3,3,0,0,0,0.0,43,11.0,8,2,4,0,0,8,0,0,6,5,4.09,Right,1.091,読売ジャイアンツ
戸郷　翔征,24,12,5,0,0,0,4,2,1,0.706,676,170.0,141,14,39,0,3,141,2,0,49,45,2.38,Right,1.059,読売ジャイアンツ
直江　大輔,16,0,1,0,6,6,0,0,0,0.0,58,14.0,7,2,9,0,0,11,1,0,7,6,3.86,Right,1.143,読売ジャイアンツ
中川　皓太,44,1,4,14,17,18,0,0,0,0.2,172,43.333333333333336,37,3,9,1,1,38,0,0,10,10,2.08,Left,1.062,読売ジャイアンツ
バルドナード,21,2,1,0,7,9,0,0,0,0.667,87,21.333333333333332,15,2,10,0,0,21,0,0,5,4,1.69,Left,1.172,読売ジャイアンツ
ビーディ,30,0,6,1,7,7,0,0,0,0.0,220,49.666666666666664,51,5,21,3,4,36,0,0,23,22,3.99,Right,1.45,読売ジャイアンツ
船迫　大雅,36,3,1,0,8,11,0,0,0,0.75,118,30.0,21,3,8,2,3,33,2,0,9,9,2.7,Right,0.967,読売ジャイアンツ
平内　龍太,11,0,1,0,1,1,0,0,0,0.0,60,13.666666666666666,14,3,7,0,0,8,0,0,6,6,3.95,Right,1.537,読売ジャイアンツ
堀田　賢慎,3,0,0,0,0,0,0,0,0,0.0,16,3.3333333333333335,2,1,4,0,0,5,0,0,3,3,8.1,Right,1.8,読売ジャイアンツ
堀岡　隼人,3,0,0,0,0,0,0,0,0,0.0,19,3.3333333333333335,6,2,3,0,0,4,0,0,5,5,13.5,Right,2.7,読売ジャイアンツ
松井　颯,8,1,1,0,2,2,0,0,0,0.5,85,19.333333333333332,18,3,8,1,0,17,0,0,8,7,3.26,Right,1.345,読売ジャイアンツ
三上　朋也,22,0,1,0,7,7,0,0,0,0.0,73,15.666666666666666,18,1,8,0,4,9,0,0,8,8,4.6,Right,1.66,読売ジャイアンツ
メンデス,16,5,5,0,0,0,0,0,0,0.5,347,87.0,57,7,33,0,5,72,3,3,21,20,2.07,Left,1.034,読売ジャイアンツ
山﨑　伊織,23,10,5,0,0,0,3,1,2,0.667,586,149.0,119,10,25,3,7,106,3,0,46,45,2.72,Right,0.966,読売ジャイアンツ
横川　凱,20,4,8,0,0,2,0,0,0,0.333,348,84.33333333333333,79,10,24,0,4,46,2,0,38,37,3.95,Left,1.221,読売ジャイアンツ
ロペス,8,0,1,0,0,0,0,0,0,0.0,34,6.666666666666667,6,1,7,0,0,2,2,0,4,3,4.05,Right,1.95,読売ジャイアンツ
青柳　晃洋,18,8,6,0,0,0,0,0,0,0.571,439,100.33333333333333,102,6,38,2,9,64,3,0,54,51,4.57,Right,1.395,阪神タイガース
秋山　拓巳,2,0,1,0,0,0,0,0,0,0.0,46,9.666666666666666,16,1,1,0,0,7,0,0,8,8,7.45,Right,1.759,阪神タイガース
石井　大智,44,1,1,0,19,20,0,0,0,0.5,165,40.0,43,2,8,1,1,29,0,0,8,6,1.35,Right,1.275,阪神タイガース
伊藤　将司,21,10,5,0,0,0,3,2,2,0.667,572,146.66666666666666,120,8,21,2,4,91,3,0,40,39,2.39,Left,0.961,阪神タイガース
岩崎　優,60,3,3,35,12,15,0,0,0,0.5,217,56.0,32,3,14,0,2,62,0,0,13,11,1.77,Left,0.821,阪神タイガース
岩貞　祐太,50,1,0,0,24,25,0,0,0,1.0,177,43.333333333333336,36,2,12,1,2,30,0,0,15,13,2.7,Left,1.108,阪神タイガース
大竹　耕太郎,21,12,2,0,0,0,1,1,1,0.857,513,131.66666666666666,122,10,12,0,3,82,0,0,36,33,2.26,Left,1.018,阪神タイガース
岡留　英貴,8,1,0,0,0,1,0,0,0,1.0,25,7.0,5,0,1,0,0,6,0,0,1,1,1.29,Right,0.857,阪神タイガース
及川　雅貴,33,3,1,0,7,10,0,0,0,0.75,147,36.333333333333336,28,2,14,3,2,40,1,0,10,9,2.23,Left,1.156,阪神タイガース
加治屋　蓮,51,1,5,1,16,17,0,0,0,0.167,161,38.666666666666664,34,3,13,0,2,32,6,1,12,11,2.56,Right,1.216,阪神タイガース
桐敷　拓馬,27,2,0,0,14,15,0,0,0,1.0,158,40.333333333333336,28,1,12,1,0,40,0,0,10,8,1.79,Left,0.992,阪神タイガース
Ｋ．ケラー,27,1,0,1,8,9,0,0,0,1.0,118,26.333333333333332,22,1,16,2,1,28,3,0,7,5,1.71,Right,1.443,阪神タイガース
小林　慶祐,1,0,0,0,0,0,0,0,0,0.0,4,1.0,1,0,0,0,0,1,0,0,0,0,0.0,Right,1.0,阪神タイガース
才木　浩人,19,8,5,0,1,1,1,1,0,0.615,473,118.66666666666667,88,8,36,1,2,107,3,0,29,24,1.82,Right,1.045,阪神タイガース
島本　浩也,35,4,2,0,15,19,0,0,0,0.667,100,26.666666666666668,19,0,3,1,1,20,0,0,6,5,1.69,Left,0.825,阪神タイガース
富田　蓮,9,1,2,0,0,1,0,0,0,0.333,66,16.0,14,2,5,0,0,10,0,0,11,8,4.5,Left,1.188,阪神タイガース
西　純矢,17,5,2,0,0,0,1,0,1,0.714,316,72.33333333333333,79,9,28,0,3,45,0,0,33,31,3.86,Right,1.479,阪神タイガース
