Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
井納　翔一,5,0,1,0,0,0,0,0,0,0.0,26,5.0,11,3,1,0,0,5,0,0,8,8,14.4,Right,2.4,読売ジャイアンツ
今村　信貴,17,3,4,0,0,1,1,1,0,0.429,274,63.0,66,5,22,0,3,59,0,0,21,19,2.71,Left,1.397,読売ジャイアンツ
大江　竜聖,47,0,0,0,13,13,0,0,0,0.0,145,33.0,29,2,17,1,2,23,0,0,16,15,4.09,Left,1.394,読売ジャイアンツ
大竹　寛,4,0,0,0,1,1,0,0,0,0.0,11,2.3333333333333335,5,0,0,0,0,0,0,0,1,1,3.86,Right,2.143,読売ジャイアンツ
鍵谷　陽平,59,3,0,1,15,18,0,0,0,1.0,182,42.333333333333336,39,5,18,0,0,30,1,0,19,15,3.19,Right,1.346,読売ジャイアンツ
サンチェス,14,5,5,0,0,0,0,0,0,0.5,317,73.0,82,13,23,0,3,54,2,1,40,38,4.68,Right,1.438,読売ジャイアンツ
桜井　俊貴,29,1,0,0,6,7,0,0,0,1.0,145,33.333333333333336,35,7,16,1,1,20,4,0,20,20,5.4,Right,1.53,読売ジャイアンツ
菅野　智之,19,6,7,0,0,0,2,1,0,0.462,465,115.66666666666667,90,15,25,1,7,102,1,0,41,41,3.19,Right,0.994,読売ジャイアンツ
高木　京介,15,1,0,0,1,2,0,0,0,1.0,81,18.333333333333332,22,1,7,0,0,15,0,0,9,9,4.42,Left,1.582,読売ジャイアンツ
高梨　雄平,55,2,2,1,20,22,0,0,0,0.5,171,39.0,34,2,21,4,5,47,2,0,17,16,3.69,Left,1.41,読売ジャイアンツ
髙橋　優貴,27,11,9,0,0,0,0,0,0,0.55,598,140.66666666666666,125,18,61,2,2,76,2,0,57,53,3.39,Left,1.322,読売ジャイアンツ
田中　豊樹,39,0,0,0,2,2,0,0,0,0.0,152,38.0,22,5,20,2,1,37,3,0,13,12,2.84,Right,1.105,読売ジャイアンツ
デラロサ,46,1,0,7,13,14,0,0,0,1.0,175,41.333333333333336,38,3,12,0,2,34,1,0,15,13,2.83,Right,1.21,読売ジャイアンツ
