Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
秋広　優人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
石川　慎吾,26,41,37,3,7,2,0,0,9,0,0,1,0,0,4,0,0,8,1,.189,0.243,0.268,Right,0.511,読売ジャイアンツ
井納　翔一,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
今村　信貴,17,16,15,1,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,.067,0.067,0.067,Left,0.134,読売ジャイアンツ
ウィーラー,121,427,384,44,111,28,0,15,184,56,3,1,0,1,34,3,8,78,16,.289,0.479,0.358,Right,0.837,読売ジャイアンツ
ウレーニャ,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
大江　竜聖,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,125,386,347,36,80,12,0,11,125,37,0,0,3,1,33,4,2,80,11,.231,0.36,0.3,Left,0.66,読売ジャイアンツ
大竹　寛,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
岡本　和真,143,592,521,71,138,19,1,39,276,113,1,1,0,7,57,4,7,108,16,.265,0.53,0.341,Right,0.871,読売ジャイアンツ
鍵谷　陽平,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
梶谷　隆幸,61,246,227,31,64,10,1,4,88,23,11,8,0,1,15,0,3,40,2,.282,0.388,0.333,Left,0.721,読売ジャイアンツ
香月　一也,39,67,59,9,12,3,0,3,24,6,0,0,2,0,4,0,2,12,2,.203,0.407,0.277,Left,0.684,読売ジャイアンツ
亀井　善行,92,206,186,15,40,12,1,3,63,17,1,1,2,3,13,1,2,47,3,.215,0.339,0.27,Left,0.609,読売ジャイアンツ
岸田　行倫,27,24,22,1,4,0,1,0,6,2,0,0,0,0,2,0,0,8,0,.182,0.273,0.25,Right,0.523,読売ジャイアンツ
北村　拓己,53,103,92,13,23,3,0,4,38,11,1,0,2,0,8,1,1,28,4,.250,0.413,0.317,Right,0.73,読売ジャイアンツ
小林　誠司,64,79,75,2,7,2,0,1,12,3,1,0,2,0,1,0,1,24,2,.093,0.16,0.117,Right,0.277,読売ジャイアンツ
サンチェス,14,21,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,.000,0.0,0.0,Switch,0.0,読売ジャイアンツ
坂本　勇人,117,487,424,53,115,26,0,19,198,46,2,3,2,2,58,4,1,90,4,.271,0.467,0.359,Right,0.826,読売ジャイアンツ
桜井　俊貴,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
重信　慎之介,73,86,78,11,17,2,0,2,25,6,6,2,1,0,7,0,0,26,0,.218,0.321,0.282,Left,0.603,読売ジャイアンツ
スモーク,34,125,114,11,31,3,0,7,55,14,0,0,0,0,10,1,1,37,2,.272,0.482,0.336,Switch,0.818,読売ジャイアンツ
菅野　智之,19,39,32,2,4,0,0,0,4,0,0,0,6,0,1,0,0,9,0,.125,0.125,0.152,Right,0.277,読売ジャイアンツ
炭谷　銀仁朗,44,54,48,4,9,0,0,1,12,7,0,0,1,1,4,1,0,17,0,.188,0.25,0.245,Right,0.495,読売ジャイアンツ
高木　京介,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
高梨　雄平,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
髙橋　優貴,27,49,46,1,2,1,0,0,3,2,0,0,2,0,1,0,0,30,0,.043,0.065,0.064,Left,0.129,読売ジャイアンツ
立岡　宗一郎,47,47,44,2,9,0,0,0,9,1,0,0,0,0,3,0,0,7,0,.205,0.205,0.255,Left,0.46,読売ジャイアンツ
田中　豊樹,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
テームズ,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
デラロサ,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
戸郷　翔征,26,53,43,2,5,0,0,0,5,1,0,0,8,0,2,0,0,20,2,.116,0.116,0.156,Right,0.272,読売ジャイアンツ
戸田　懐生,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
戸根　千明,29,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.0,1.0,Left,2.0,読売ジャイアンツ
直江　大輔,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
中川　皓太,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中島　宏之,81,195,181,11,49,10,0,6,77,26,0,0,1,1,9,1,3,35,9,.271,0.425,0.314,Right,0.739,読売ジャイアンツ
中田　翔,34,106,91,6,14,4,0,3,27,7,0,0,0,0,14,0,1,29,3,.154,0.297,0.274,Right,0.571,読売ジャイアンツ
沼田　翔平,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
野上　亮磨,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
ハイネマン,10,28,25,2,4,1,0,0,5,2,0,0,0,0,1,0,2,6,1,.160,0.2,0.25,Right,0.45,読売ジャイアンツ
畠　世周,52,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
