Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
アダメス,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
阿部　慎之助,95,223,198,22,49,6,0,11,88,46,0,0,1,1,21,2,2,55,6,.247,0.444,0.324,Left,0.768,読売ジャイアンツ
池田　駿,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
石川　慎吾,17,28,26,1,5,1,1,0,8,0,0,0,0,0,2,0,0,6,1,.192,0.308,0.25,Right,0.558,読売ジャイアンツ
今村　信貴,13,30,25,0,1,0,0,0,1,2,0,0,4,0,1,0,0,16,0,.040,0.04,0.077,Left,0.117,読売ジャイアンツ
上原　浩治,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
宇佐見　真吾,29,58,48,2,5,2,0,0,7,3,0,0,0,0,10,1,0,20,1,.104,0.146,0.259,Left,0.405,読売ジャイアンツ
内海　哲也,15,23,21,0,2,0,0,0,2,0,0,0,2,0,0,0,0,10,1,.095,0.095,0.095,Left,0.19,読売ジャイアンツ
大城　卓三,83,202,185,19,49,12,0,4,73,17,0,1,2,0,15,3,0,46,3,.265,0.395,0.32,Left,0.715,読売ジャイアンツ
大竹　寛,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
岡本　和真,143,616,540,82,167,26,0,33,292,100,2,1,0,0,72,1,4,120,11,.309,0.541,0.394,Right,0.935,読売ジャイアンツ
カミネロ,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
亀井　善行,123,461,422,47,107,20,0,13,166,49,4,0,0,1,36,2,2,70,6,.254,0.393,0.315,Left,0.708,読売ジャイアンツ
河野　元貴,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
北村　拓己,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
鍬原　拓也,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
ゲレーロ,82,323,287,34,70,17,0,15,132,40,2,3,0,1,29,0,6,62,8,.244,0.46,0.325,Right,0.785,読売ジャイアンツ
小林　誠司,119,313,265,22,58,9,0,2,73,26,0,0,16,1,27,5,4,58,8,.219,0.275,0.3,Right,0.575,読売ジャイアンツ
坂本　勇人,109,502,441,87,152,27,2,18,237,67,9,5,0,0,61,10,0,83,4,.345,0.537,0.424,Right,0.961,読売ジャイアンツ
澤村　拓一,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
重信　慎之介,60,185,167,24,47,7,5,2,70,13,6,4,6,1,11,0,0,38,1,.281,0.419,0.324,Left,0.743,読売ジャイアンツ
篠原　慎平,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
菅野　智之,28,69,54,6,7,1,0,1,11,4,0,0,14,0,1,0,0,21,3,.130,0.204,0.145,Right,0.349,読売ジャイアンツ
高木　京介,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
髙田　萌生,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
田口　麗斗,16,25,20,1,4,1,0,0,5,1,0,0,3,0,2,0,0,8,1,.200,0.25,0.273,Left,0.523,読売ジャイアンツ
立岡　宗一郎,42,60,52,10,12,0,0,0,12,5,4,0,0,0,7,0,1,11,2,.231,0.231,0.333,Left,0.564,読売ジャイアンツ
田中　俊太,99,261,228,20,55,6,3,2,73,12,6,0,10,0,23,0,0,41,7,.241,0.32,0.311,Left,0.631,読売ジャイアンツ
田中　貴也,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
谷岡　竜平,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
田原　誠次,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
長野　久義,116,426,383,49,111,16,0,13,166,52,3,2,0,1,41,4,1,69,5,.290,0.433,0.359,Right,0.792,読売ジャイアンツ
辻　東倫,8,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.100,0.1,0.1,Left,0.2,読売ジャイアンツ
中井　大介,70,97,86,8,16,5,0,1,24,6,0,0,3,0,6,0,2,25,3,.186,0.279,0.255,Right,0.534,読売ジャイアンツ
中川　皓太,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
野上　亮磨,25,21,17,0,1,0,0,0,1,0,0,0,2,0,2,0,0,9,0,.059,0.059,0.158,Right,0.217,読売ジャイアンツ
畠　世周,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
