Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
赤星　優志,22,38,30,1,7,0,0,0,7,2,0,0,5,0,3,0,0,12,0,.233,0.233,0.303,Right,0.536,読売ジャイアンツ
秋広　優人,5,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.143,0.143,0.25,Left,0.393,読売ジャイアンツ
浅野　翔吾,29,83,75,6,14,4,0,2,24,8,1,0,1,1,4,1,2,17,1,.187,0.32,0.244,Right,0.564,読売ジャイアンツ
荒巻　悠,31,61,54,1,16,1,0,1,20,1,0,2,0,0,7,0,0,13,0,.296,0.37,0.377,Left,0.747,読売ジャイアンツ
石川　達也,41,7,7,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,.286,0.286,0.286,Right,0.572,読売ジャイアンツ
石塚　裕惺,9,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,.111,0.111,0.111,Right,0.222,読売ジャイアンツ
泉口　友汰,133,573,512,67,154,23,3,6,201,39,4,5,7,3,47,2,4,60,8,.301,0.393,0.362,Left,0.755,読売ジャイアンツ
泉　圭輔,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
井上　温大,20,30,29,1,2,0,0,0,2,1,0,0,1,0,0,0,0,17,0,.069,0.069,0.069,Left,0.138,読売ジャイアンツ
浦田　俊輔,22,60,53,4,11,2,0,0,13,4,0,1,3,0,3,0,1,7,1,.208,0.245,0.263,Left,0.508,読売ジャイアンツ
オコエ　瑠偉,61,140,126,12,31,4,2,0,39,5,3,3,6,0,7,1,1,29,1,.246,0.31,0.291,Right,0.601,読売ジャイアンツ
大城　卓三,56,99,91,6,17,3,0,3,29,10,0,0,0,1,6,1,1,27,4,.187,0.319,0.242,Left,0.561,読売ジャイアンツ
岡田　悠希,11,19,18,1,3,1,0,0,4,2,0,0,0,0,1,0,0,10,0,.167,0.222,0.211,Left,0.433,読売ジャイアンツ
岡本　和真,69,293,251,38,82,21,1,15,150,49,1,1,0,2,33,2,7,33,5,.327,0.598,0.416,Right,1.014,読売ジャイアンツ
乙坂　智,5,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.200,0.4,0.2,Left,0.6,読売ジャイアンツ
甲斐　拓也,68,250,223,17,58,4,0,4,74,20,3,1,2,2,23,5,0,58,8,.260,0.332,0.327,Right,0.659,読売ジャイアンツ
門脇　誠,81,176,157,14,35,6,1,0,43,4,6,1,8,0,10,0,1,32,2,.223,0.274,0.274,Left,0.548,読売ジャイアンツ
キャベッジ,123,476,431,50,115,26,1,17,194,51,5,3,1,2,37,3,5,144,4,.267,0.45,0.331,Left,0.781,読売ジャイアンツ
菊地　大稀,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
岸田　行倫,87,299,266,25,78,9,0,8,111,39,0,1,6,1,25,2,1,44,4,.293,0.417,0.355,Right,0.772,読売ジャイアンツ
グリフィン,14,23,19,0,3,0,0,0,3,0,0,0,3,0,1,0,0,6,0,.158,0.158,0.2,Left,0.358,読売ジャイアンツ
ケラー,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
郡　拓也,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
小林　誠司,14,26,21,2,3,1,0,0,4,1,0,0,2,0,3,0,0,8,1,.143,0.19,0.25,Right,0.44,読売ジャイアンツ
坂本　勇人,62,173,154,7,32,10,0,3,51,22,0,0,0,4,14,1,1,40,6,.208,0.331,0.272,Right,0.603,読売ジャイアンツ
佐々木　俊輔,53,161,141,14,35,4,1,0,41,10,1,4,10,0,10,0,0,34,2,.248,0.291,0.298,Left,0.589,読売ジャイアンツ
笹原　操希,13,22,20,1,2,0,0,0,2,0,0,0,0,0,2,0,0,7,0,.100,0.1,0.182,Right,0.282,読売ジャイアンツ
重信　慎之介,10,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,.333,0.333,0.333,Left,0.666,読売ジャイアンツ
鈴木　大和,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
大勢,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
高梨　雄平,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
田中　瑛斗,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
田中　将大,10,14,13,1,2,1,0,0,3,0,0,0,1,0,0,0,0,9,0,.154,0.231,0.154,Right,0.385,読売ジャイアンツ
長野　久義,17,24,22,1,3,0,0,0,3,0,0,0,0,0,2,0,0,8,0,.136,0.136,0.208,Right,0.344,読売ジャイアンツ
戸郷　翔征,21,35,28,1,3,0,0,0,3,0,0,0,7,0,0,0,0,14,0,.107,0.107,0.107,Right,0.214,読売ジャイアンツ
戸田　懐生,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
中川　皓太,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中山　礼都,103,312,287,35,76,13,0,7,110,32,1,2,2,0,20,1,3,42,6,.265,0.383,0.319,Left,0.702,読売ジャイアンツ
西舘　勇陽,15,10,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
バルドナード,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
萩尾　匡也,9,25,23,0,4,0,0,0,4,0,1,0,1,0,1,1,0,5,0,.174,0.174,0.208,Right,0.382,読売ジャイアンツ
馬場　皐輔,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
フルプ,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
船迫　大雅,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ヘルナンデス,52,171,152,14,32,8,0,2,46,8,0,3,0,0,18,1,1,34,5,.211,0.303,0.298,Right,0.601,読売ジャイアンツ
平内　龍太,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
堀田　賢慎,8,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,.400,0.4,0.4,Right,0.8,読売ジャイアンツ
マルティネス,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
増田　大輝,53,25,22,5,3,1,0,0,4,0,3,2,3,0,0,0,0,7,0,.136,0.182,0.136,Right,0.318,読売ジャイアンツ
増田　陸,87,286,264,22,61,10,0,5,86,21,0,3,3,3,13,1,3,62,4,.231,0.326,0.272,Right,0.598,読売ジャイアンツ
又木　鉄平,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
丸　佳浩,90,369,326,30,87,19,3,6,130,26,5,4,1,2,40,5,0,57,5,.267,0.399,0.345,Left,0.744,読売ジャイアンツ
三塚　琉生,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
宮原　駿介,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
森田　駿哉,9,12,9,0,1,0,0,0,1,0,0,0,2,0,1,0,0,5,1,.111,0.111,0.2,Left,0.311,読売ジャイアンツ
