Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
石川　慎吾,43,47,45,2,11,1,0,2,18,7,0,0,0,0,2,0,0,12,1,.244,0.4,0.277,Right,0.677,読売ジャイアンツ
今村　信貴,12,24,20,2,1,0,0,0,1,2,0,0,3,0,1,0,0,12,0,.050,0.05,0.095,Left,0.145,読売ジャイアンツ
ウィーラー,98,288,263,26,65,9,0,12,110,36,3,3,0,1,22,1,2,47,6,.247,0.418,0.309,Right,0.727,読売ジャイアンツ
ウレーニャ,11,20,18,0,3,0,0,0,3,0,0,0,0,0,2,0,0,8,0,.167,0.167,0.25,Right,0.417,読売ジャイアンツ
大江　竜聖,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,93,308,274,30,74,10,1,9,113,41,1,0,1,3,30,6,0,82,1,.270,0.412,0.339,Left,0.751,読売ジャイアンツ
大竹　寛,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
岡本　和真,118,500,440,79,121,26,0,31,240,97,2,0,0,0,55,2,5,85,10,.275,0.545,0.362,Right,0.907,読売ジャイアンツ
鍵谷　陽平,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
香月　一也,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
加藤　脩平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
亀井　善行,51,156,141,21,36,7,0,2,49,17,0,1,1,2,11,0,1,21,3,.255,0.348,0.31,Left,0.658,読売ジャイアンツ
岸田　行倫,34,48,43,2,13,3,0,1,19,5,0,0,1,1,3,0,0,16,4,.302,0.442,0.34,Right,0.782,読売ジャイアンツ
北村　拓己,57,88,75,9,17,2,0,2,25,10,0,0,2,0,10,1,1,24,2,.227,0.333,0.326,Right,0.659,読売ジャイアンツ
鍬原　拓也,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
小林　誠司,10,21,18,1,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,.056,0.056,0.15,Right,0.206,読売ジャイアンツ
サンチェス,15,34,29,0,1,0,0,0,1,0,0,0,5,0,0,0,0,20,0,.034,0.034,0.034,Switch,0.068,読売ジャイアンツ
坂本　勇人,115,479,412,64,119,28,1,19,206,65,4,1,1,4,62,7,0,85,9,.289,0.5,0.379,Right,0.879,読売ジャイアンツ
桜井　俊貴,25,18,15,0,1,0,0,0,1,0,0,0,2,0,1,0,0,6,0,.067,0.067,0.125,Right,0.192,読売ジャイアンツ
澤村　拓一,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
重信　慎之介,60,96,90,17,23,5,1,1,33,6,5,1,0,0,6,0,0,33,1,.256,0.367,0.302,Left,0.669,読売ジャイアンツ
菅野　智之,20,53,44,3,4,3,0,0,7,3,0,0,8,0,1,0,0,16,0,.091,0.159,0.111,Right,0.27,読売ジャイアンツ
