Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
アンドリース,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
赤星　優志,31,19,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11,0,.056,0.056,0.056,Right,0.112,読売ジャイアンツ
石川　慎吾,22,32,29,3,8,3,0,0,11,2,0,0,0,0,3,1,0,9,0,.276,0.379,0.344,Right,0.723,読売ジャイアンツ
井納　翔一,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
井上　温大,7,7,5,1,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,.400,0.4,0.4,Left,0.8,読売ジャイアンツ
今村　信貴,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ウィーラー,30,64,56,2,11,2,0,2,19,5,0,1,0,0,8,1,0,7,0,.196,0.339,0.297,Right,0.636,読売ジャイアンツ
ウォーカー,124,428,406,58,110,28,1,23,209,52,5,0,0,1,18,1,3,98,11,.271,0.515,0.306,Right,0.821,読売ジャイアンツ
大江　竜聖,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,115,393,346,24,92,11,1,13,144,43,1,0,9,0,36,4,2,77,10,.266,0.416,0.339,Left,0.755,読売ジャイアンツ
岡田　悠希,33,22,21,2,2,0,0,0,2,0,0,0,0,0,1,0,0,7,0,.095,0.095,0.136,Left,0.231,読売ジャイアンツ
岡本　和真,140,589,520,63,131,21,1,30,244,82,1,1,0,2,58,7,9,94,11,.252,0.469,0.336,Right,0.805,読売ジャイアンツ
鍵谷　陽平,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
香月　一也,15,37,35,5,7,2,0,0,9,2,0,0,0,0,2,0,0,8,0,.200,0.257,0.243,Left,0.5,読売ジャイアンツ
菊地　大稀,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
岸田　行倫,25,38,35,1,9,0,0,0,9,1,0,0,0,0,2,0,1,6,0,.257,0.257,0.316,Right,0.573,読売ジャイアンツ
