Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
アダメス,28,0,2,4,3,3,0,0,0,0.0,141,32.0,30,2,20,2,1,19,2,0,14,14,3.94,Right,1.562,読売ジャイアンツ
池田　駿,27,1,1,0,1,2,0,0,0,0.5,112,24.333333333333332,31,1,9,1,2,11,1,0,15,11,4.07,Left,1.644,読売ジャイアンツ
今村　信貴,13,6,2,0,0,0,1,1,1,0.75,328,77.0,80,8,26,0,3,51,2,0,34,33,3.86,Left,1.377,読売ジャイアンツ
上原　浩治,36,0,5,0,14,14,0,0,0,0.0,139,34.666666666666664,32,5,5,0,2,24,0,0,14,14,3.63,Right,1.067,読売ジャイアンツ
内海　哲也,15,5,5,0,0,0,1,1,0,0.5,358,82.0,95,11,19,2,3,56,3,0,38,38,4.17,Left,1.39,読売ジャイアンツ
大竹　寛,2,1,1,0,0,0,0,0,0,0.5,42,9.0,13,2,2,0,0,5,0,0,6,6,6.0,Right,1.667,読売ジャイアンツ
カミネロ,20,1,1,11,2,3,0,0,0,0.5,90,18.666666666666668,27,1,6,1,1,19,2,0,13,12,5.79,Right,1.768,読売ジャイアンツ
鍬原　拓也,6,1,2,0,0,0,0,0,0,0.333,123,27.666666666666668,23,6,17,1,3,35,2,0,22,21,6.83,Right,1.446,読売ジャイアンツ
澤村　拓一,49,1,6,0,24,25,0,0,0,0.143,238,52.333333333333336,55,4,27,3,3,54,3,0,29,27,4.64,Right,1.567,読売ジャイアンツ
篠原　慎平,7,0,0,0,0,0,0,0,0,0.0,47,10.0,17,2,2,0,0,2,1,0,7,7,6.3,Right,1.9,読売ジャイアンツ
菅野　智之,28,15,8,0,0,0,10,8,4,0.652,801,202.0,166,14,37,1,3,200,3,0,52,48,2.14,Right,1.005,読売ジャイアンツ
高木　京介,3,0,0,0,0,0,0,0,0,0.0,28,5.0,8,0,4,0,0,1,0,0,7,7,12.6,Left,2.4,読売ジャイアンツ
髙田　萌生,1,0,1,0,0,0,0,0,0,0.0,15,2.0,6,0,3,0,1,0,0,0,6,6,27.0,Right,4.5,読売ジャイアンツ
田口　麗斗,16,2,8,0,0,0,1,0,0,0.2,396,86.33333333333333,113,13,27,2,6,60,1,0,52,46,4.8,Left,1.622,読売ジャイアンツ
谷岡　竜平,25,2,1,0,2,4,0,0,0,0.667,117,25.0,26,1,16,2,0,25,4,0,17,16,5.76,Right,1.68,読売ジャイアンツ
田原　誠次,29,2,0,0,1,3,0,0,0,1.0,125,31.666666666666668,27,4,8,1,0,19,0,0,9,9,2.56,Right,1.105,読売ジャイアンツ
中川　皓太,30,1,0,1,3,4,0,0,0,1.0,165,37.666666666666664,47,7,8,0,1,31,2,0,24,21,5.02,Left,1.46,読売ジャイアンツ
野上　亮磨,25,4,4,0,1,1,0,0,0,0.5,300,71.33333333333333,74,15,21,2,2,54,3,0,38,38,4.79,Right,1.332,読売ジャイアンツ
畠　世周,9,2,0,0,3,5,0,0,0,1.0,41,9.666666666666666,10,0,2,0,0,10,1,0,3,3,2.79,Right,1.241,読売ジャイアンツ
マシソン,34,0,3,8,14,14,0,0,0,0.0,133,33.333333333333336,21,3,13,1,1,41,0,0,12,11,2.97,Right,1.02,読売ジャイアンツ
宮國　椋丞,29,0,0,0,4,4,0,0,0,0.0,133,32.0,27,4,10,0,3,25,0,0,8,7,1.97,Right,1.156,読売ジャイアンツ
メルセデス,13,5,4,0,0,0,2,1,0,0.556,357,92.0,69,4,16,0,3,53,1,0,28,21,2.05,Left,0.924,読売ジャイアンツ
森福　允彦,2,0,0,0,0,0,0,0,0,0.0,10,2.0,4,1,0,0,0,0,0,0,3,3,13.5,Left,2.0,読売ジャイアンツ
ヤングマン,4,3,1,0,0,0,0,0,0,0.75,107,26.0,25,2,9,1,0,25,0,0,9,8,2.77,Right,1.308,読売ジャイアンツ
山口　俊,30,9,9,1,1,2,6,2,0,0.5,644,154.0,127,18,60,1,9,144,4,0,66,63,3.68,Right,1.214,読売ジャイアンツ
吉川　光夫,22,6,7,0,0,0,0,0,0,0.462,431,101.33333333333333,93,16,39,0,4,76,3,0,49,48,4.26,Left,1.303,読売ジャイアンツ
青柳　晃洋,4,1,1,0,0,0,0,0,0,0.5,93,21.666666666666668,23,1,6,0,0,22,1,0,8,8,3.32,Right,1.338,阪神タイガース
秋山　拓巳,17,5,10,0,0,0,2,1,1,0.333,437,105.0,111,8,18,0,4,89,2,0,46,45,3.86,Right,1.229,阪神タイガース
飯田　優也,1,0,0,0,0,0,0,0,0,0.0,16,3.0,5,1,2,0,0,3,0,0,4,4,12.0,Left,2.333,阪神タイガース
石崎　剛,12,0,0,0,1,1,0,0,0,0.0,65,15.0,10,2,10,0,1,23,0,0,7,7,4.2,Right,1.333,阪神タイガース
伊藤　和雄,14,0,1,0,0,0,0,0,0,0.0,92,21.333333333333332,15,1,10,1,1,25,2,0,14,13,5.48,Right,1.172,阪神タイガース
岩崎　優,61,1,3,0,10,11,0,0,0,0.25,275,62.0,66,8,25,2,4,70,5,0,37,34,4.94,Left,1.468,阪神タイガース
岩貞　祐太,23,7,10,0,0,0,1,0,0,0.412,554,132.0,128,18,32,0,1,122,1,0,56,51,3.48,Left,1.212,阪神タイガース
岩田　稔,6,0,4,0,0,0,0,0,0,0.0,129,30.666666666666668,25,4,9,2,3,29,2,0,13,11,3.23,Left,1.109,阪神タイガース
岡本　洋介,34,1,0,0,2,3,0,0,0,1.0,192,44.666666666666664,46,3,11,2,5,30,0,0,19,19,3.83,Right,1.276,阪神タイガース
