Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
乾　真大,2,0,0,0,0,0,0,0,0,0.0,12,2.3333333333333335,1,0,2,0,0,3,0,0,2,0,0.0,Left,1.286,読売ジャイアンツ
今村　信貴,16,3,4,0,0,0,0,0,0,0.429,346,77.33333333333333,87,11,36,0,2,60,3,0,49,48,5.59,Left,1.591,読売ジャイアンツ
内海　哲也,18,9,6,0,0,0,0,0,0,0.6,442,107.33333333333333,104,10,22,0,5,81,2,0,47,47,3.94,Left,1.174,読売ジャイアンツ
江柄子　裕樹,2,0,1,0,0,0,0,0,0,0.0,47,8.666666666666666,14,0,7,0,0,4,0,0,8,7,7.27,Right,2.423,読売ジャイアンツ
大竹　寛,17,6,6,0,0,0,0,0,0,0.5,393,91.33333333333333,91,6,30,1,1,71,3,0,40,36,3.55,Right,1.325,読売ジャイアンツ
公文　克彦,12,0,0,0,0,0,0,0,0,0.0,50,11.666666666666666,10,1,3,0,2,12,1,0,5,5,3.86,Left,1.114,読売ジャイアンツ
小山　雄輝,9,0,1,0,1,1,0,0,0,0.0,58,13.0,15,1,5,1,0,12,0,0,7,7,4.85,Right,1.538,読売ジャイアンツ
桜井　俊貴,1,0,1,0,0,0,0,0,0,0.0,23,4.333333333333333,9,0,1,0,1,5,0,0,4,4,8.31,Right,2.308,読売ジャイアンツ
澤村　拓一,63,6,4,37,4,10,0,0,0,0.6,271,64.33333333333333,60,5,22,0,1,55,9,1,20,19,2.66,Right,1.275,読売ジャイアンツ
菅野　智之,26,9,6,0,0,0,5,2,3,0.6,726,183.33333333333334,156,12,26,0,4,189,1,0,46,41,2.01,Right,0.993,読売ジャイアンツ
平良　拳太郎,1,0,1,0,0,0,0,0,0,0.0,18,3.6666666666666665,4,1,3,0,0,4,0,0,4,4,9.82,Right,1.909,読売ジャイアンツ
