Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
赤星　優志,12,22,17,0,2,1,0,0,3,0,0,0,3,0,2,0,0,10,0,.118,0.176,0.211,Right,0.387,読売ジャイアンツ
秋広　優人,121,439,406,36,111,18,2,10,163,41,0,1,2,3,26,2,2,79,9,.273,0.401,0.318,Left,0.719,読売ジャイアンツ
浅野　翔吾,24,41,40,2,10,1,0,1,14,2,0,2,0,0,1,0,0,14,0,.250,0.35,0.268,Right,0.618,読売ジャイアンツ
井上　温大,4,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,.250,0.25,0.25,Left,0.5,読売ジャイアンツ
今村　信貴,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
ウォーカー,57,120,118,15,31,4,2,6,57,20,1,1,0,0,2,0,0,39,1,.263,0.483,0.275,Right,0.758,読売ジャイアンツ
オコエ　瑠偉,41,127,119,11,28,7,0,2,41,6,1,1,1,0,5,0,2,35,1,.235,0.345,0.278,Right,0.623,読売ジャイアンツ
大江　竜聖,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,134,490,424,50,119,20,1,16,189,55,0,0,21,4,36,3,5,109,12,.281,0.446,0.341,Left,0.787,読売ジャイアンツ
岡田　悠希,26,52,48,4,8,1,0,1,12,2,0,0,1,0,3,0,0,14,1,.167,0.25,0.216,Left,0.466,読売ジャイアンツ
岡本　和真,140,589,503,83,140,31,0,41,294,93,0,1,0,6,72,10,8,111,10,.278,0.584,0.374,Right,0.958,読売ジャイアンツ
鍵谷　陽平,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
梶谷　隆幸,102,291,265,26,73,8,0,2,87,19,2,2,6,0,17,0,3,45,2,.275,0.328,0.326,Left,0.654,読売ジャイアンツ
門脇　誠,126,348,316,34,83,12,1,3,106,21,11,5,14,0,18,3,0,58,4,.263,0.335,0.302,Left,0.637,読売ジャイアンツ
菊田　拡和,6,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,0.0,0.167,Right,0.167,読売ジャイアンツ
菊地　大稀,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
岸田　行倫,46,72,68,5,17,2,0,2,25,3,0,0,1,0,2,0,1,12,4,.250,0.368,0.282,Right,0.65,読売ジャイアンツ
北村　拓己,27,38,34,2,7,1,0,0,8,0,0,0,1,0,2,1,1,7,3,.206,0.235,0.27,Right,0.505,読売ジャイアンツ
グリフィン,20,41,39,1,4,1,1,0,7,1,0,0,1,1,0,0,0,25,0,.103,0.179,0.1,Left,0.279,読売ジャイアンツ
鍬原　拓也,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
小林　誠司,21,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.125,0.125,0.125,Right,0.25,読売ジャイアンツ
坂本　勇人,116,455,403,46,116,29,0,22,211,60,2,0,3,2,45,3,2,84,5,.288,0.524,0.361,Right,0.885,読売ジャイアンツ
重信　慎之介,67,57,51,16,8,0,0,0,8,1,10,4,1,0,5,0,0,16,1,.157,0.157,0.232,Left,0.389,読売ジャイアンツ
代木　大和,13,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.500,0.5,0.5,Left,1.0,読売ジャイアンツ
菅野　智之,14,25,21,0,5,1,0,0,6,1,0,0,3,0,1,0,0,5,0,.238,0.286,0.273,Right,0.559,読売ジャイアンツ
鈴木　康平,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
大勢,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
高木　京介,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
高梨　雄平,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
髙橋　優貴,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
田中　千晴,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
田中　豊樹,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
長野　久義,75,176,158,15,41,7,1,6,68,19,1,1,0,1,17,4,0,40,2,.259,0.43,0.33,Right,0.76,読売ジャイアンツ
戸郷　翔征,24,55,46,1,5,0,0,0,5,3,0,0,6,1,2,0,0,24,0,.109,0.109,0.143,Right,0.252,読売ジャイアンツ
直江　大輔,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
中川　皓太,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
中島　宏之,8,19,18,1,5,0,0,0,5,0,0,0,0,0,1,0,0,5,1,.278,0.278,0.316,Right,0.594,読売ジャイアンツ
中田　翔,92,288,263,27,67,8,1,15,122,37,0,0,0,4,19,3,2,63,10,.255,0.464,0.306,Right,0.77,読売ジャイアンツ
中山　礼都,78,147,138,9,33,5,1,0,40,3,5,1,2,0,7,0,0,30,5,.239,0.29,0.276,Left,0.566,読売ジャイアンツ
バルドナード,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
萩尾　匡也,11,16,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,.063,0.063,0.063,Right,0.126,読売ジャイアンツ
ビーディ,30,8,7,0,1,0,0,0,1,2,0,0,1,0,0,0,0,5,0,.143,0.143,0.143,Right,0.286,読売ジャイアンツ
廣岡　大志,9,30,28,5,6,0,0,1,9,2,1,0,0,1,0,0,1,8,0,.214,0.321,0.233,Right,0.554,読売ジャイアンツ
ブリンソン,88,294,282,25,70,16,0,11,119,35,1,2,0,2,9,3,1,71,4,.248,0.422,0.272,Right,0.694,読売ジャイアンツ
船迫　大雅,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
平内　龍太,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
堀田　賢慎,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
堀岡　隼人,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
増田　大輝,33,13,10,4,3,1,0,0,4,1,4,2,2,0,1,0,0,3,0,.300,0.4,0.364,Right,0.764,読売ジャイアンツ
松井　颯,8,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500,0.5,0.5,Right,1.0,読売ジャイアンツ
松田　宣浩,12,17,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,.063,0.063,0.063,Right,0.126,読売ジャイアンツ
松原　聖弥,21,13,12,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,.000,0.0,0.077,Left,0.077,読売ジャイアンツ
丸　佳浩,121,431,385,43,94,11,0,18,159,47,4,2,1,3,42,3,0,62,5,.244,0.413,0.316,Left,0.729,読売ジャイアンツ
三上　朋也,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
メンデス,16,30,28,1,2,0,0,0,2,0,0,0,1,0,0,0,1,12,2,.071,0.071,0.103,Left,0.174,読売ジャイアンツ
山﨑　伊織,23,47,44,3,6,0,0,0,6,0,0,0,3,0,0,0,0,15,0,.136,0.136,0.136,Left,0.272,読売ジャイアンツ
山瀬　慎之助,5,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.143,0.143,0.143,Right,0.286,読売ジャイアンツ
横川　凱,20,29,25,1,4,0,0,0,4,1,0,0,4,0,0,0,0,11,0,.160,0.16,0.16,Left,0.32,読売ジャイアンツ
吉川　尚輝,132,478,430,47,110,19,4,7,158,36,4,4,11,3,26,2,8,66,12,.256,0.367,0.308,Left,0.675,読売ジャイアンツ
ロペス,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
若林　晃弘,21,18,16,3,2,0,0,0,2,0,1,0,0,0,2,1,0,5,0,.125,0.125,0.222,Switch,0.347,読売ジャイアンツ
青柳　晃洋,18,37,32,1,4,1,0,0,5,4,0,0,5,0,0,0,0,12,0,.125,0.156,0.125,Right,0.281,阪神タイガース
秋山　拓巳,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,0.0,0.0,Left,0.0,阪神タイガース
石井　大智,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
板山　祐太郎,12,17,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,.059,0.059,0.059,Left,0.118,阪神タイガース
伊藤　将司,21,52,43,1,5,0,0,0,5,2,0,0,7,0,2,0,0,26,1,.116,0.116,0.156,Left,0.272,阪神タイガース
糸原　健斗,69,83,72,1,17,1,0,0,18,5,0,0,0,0,9,1,2,16,1,.236,0.25,0.337,Left,0.587,阪神タイガース
井上　広大,13,37,35,3,8,2,1,0,12,7,0,0,0,0,2,0,0,18,0,.229,0.343,0.27,Right,0.613,阪神タイガース
岩崎　優,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
岩貞　祐太,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
植田　海,28,3,1,9,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,.000,0.0,0.5,Switch,0.5,阪神タイガース
梅野　隆太郎,72,251,217,17,42,4,0,1,49,19,3,1,1,3,28,0,2,56,6,.194,0.226,0.288,Right,0.514,阪神タイガース
大竹　耕太郎,21,48,41,2,4,1,0,0,5,3,0,0,5,0,2,0,0,27,1,.098,0.122,0.14,Left,0.262,阪神タイガース
大山　悠輔,143,625,513,80,148,29,0,19,234,78,3,3,0,8,99,5,5,120,13,.288,0.456,0.403,Right,0.859,阪神タイガース
岡留　英貴,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
小野寺　暖,43,83,75,8,26,2,2,0,32,11,0,0,1,0,7,0,0,12,0,.347,0.427,0.402,Right,0.829,阪神タイガース
小幡　竜平,47,91,78,12,22,1,1,0,25,8,3,1,5,0,8,4,0,23,0,.282,0.321,0.349,Left,0.67,阪神タイガース
及川　雅貴,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
加治屋　蓮,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
木浪　聖也,127,470,408,41,109,22,1,1,136,41,0,0,20,7,31,12,4,103,13,.267,0.333,0.32,Left,0.653,阪神タイガース
桐敷　拓馬,27,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.167,0.167,0.167,Left,0.334,阪神タイガース
熊谷　敬宥,26,9,6,7,2,0,0,0,2,0,3,1,1,0,2,0,0,2,0,.333,0.333,0.5,Right,0.833,阪神タイガース
Ｋ．ケラー,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
小林　慶祐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
才木　浩人,19,35,32,1,1,0,0,0,1,0,0,0,3,0,0,0,0,21,0,.031,0.031,0.031,Right,0.062,阪神タイガース
榮枝　裕貴,2,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.333,0.333,0.333,Right,0.666,阪神タイガース
坂本　誠志郎,84,289,243,10,55,5,1,0,62,21,0,0,18,5,19,1,4,62,4,.226,0.255,0.288,Right,0.543,阪神タイガース
佐藤　輝明,132,548,486,70,128,30,6,24,242,92,7,5,0,4,54,5,4,139,4,.263,0.498,0.339,Left,0.837,阪神タイガース
島田　海吏,101,121,110,12,16,0,1,1,21,6,7,1,1,0,7,0,3,26,4,.145,0.191,0.217,Left,0.408,阪神タイガース
島本　浩也,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
近本　光司,129,585,501,83,143,24,12,8,215,54,28,3,0,5,67,2,12,71,6,.285,0.429,0.379,Left,0.808,阪神タイガース
富田　蓮,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,阪神タイガース
長坂　拳弥,10,12,9,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,.222,0.222,0.222,Right,0.444,阪神タイガース
中野　拓夢,143,660,575,80,164,17,5,2,197,40,20,12,21,5,57,2,2,107,5,.285,0.343,0.349,Left,0.692,阪神タイガース
