Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
赤星　優志,5,2,0,0,1,3,0,0,0,1.0,26,6.333333333333333,7,1,1,0,0,2,0,0,1,1,1.42,Right,1.263,読売ジャイアンツ
石川　達也,1,0,0,0,0,0,0,0,0,0.0,8,1.0,4,1,1,0,0,1,0,0,4,4,36.0,Left,5.0,読売ジャイアンツ
泉　圭輔,2,0,0,0,0,0,0,0,0,0.0,8,2.0,2,0,1,0,0,1,0,0,0,0,0.0,Right,1.5,読売ジャイアンツ
井上　温大,2,1,1,0,0,0,0,0,0,0.5,51,13.0,11,1,2,0,0,15,0,0,3,3,2.08,Left,1.0,読売ジャイアンツ
ウィットリー,3,1,1,0,0,0,0,0,0,0.5,71,18.0,11,3,5,0,0,15,1,0,7,6,3.0,Right,0.889,読売ジャイアンツ
北浦　竜次,8,0,0,0,1,1,0,0,0,0.0,30,6.666666666666667,10,1,1,0,0,4,0,0,7,7,9.45,Left,1.65,読売ジャイアンツ
大勢,7,1,0,2,4,5,0,0,0,1.0,22,6.333333333333333,3,0,0,0,0,7,0,0,1,1,1.42,Right,0.474,読売ジャイアンツ
竹丸　和幸,3,2,1,0,0,0,0,0,0,0.667,71,16.666666666666668,16,0,7,0,1,13,0,0,5,3,1.62,Left,1.38,読売ジャイアンツ
田中　瑛斗,7,1,0,1,3,4,0,0,0,1.0,24,6.666666666666667,3,0,2,0,1,4,0,0,0,0,0.0,Right,0.75,読売ジャイアンツ
田中　将大,3,2,0,0,0,0,0,0,0,1.0,75,18.666666666666668,16,1,2,1,0,13,0,0,6,5,2.41,Right,0.964,読売ジャイアンツ
田和　廉,6,0,0,0,0,0,0,0,0,0.0,22,5.666666666666667,4,0,2,0,0,4,0,0,0,0,0.0,Right,1.059,読売ジャイアンツ
中川　皓太,5,0,0,0,0,0,0,0,0,0.0,20,4.333333333333333,5,0,1,0,0,3,0,0,1,1,2.08,Left,1.385,読売ジャイアンツ
則本　昂大,2,0,1,0,0,0,0,0,0,0.0,44,13.0,7,1,1,0,0,8,0,0,2,2,1.38,Right,0.615,読売ジャイアンツ
ハワード,2,0,1,0,0,0,0,0,0,0.0,43,9.333333333333334,9,0,7,1,0,14,0,0,5,4,3.86,Right,1.714,読売ジャイアンツ
船迫　大雅,6,0,1,0,3,3,0,0,0,0.0,21,5.0,3,0,2,1,1,4,0,0,2,2,3.6,Right,1.0,読売ジャイアンツ
マタ,1,0,1,0,0,0,0,0,0,0.0,24,5.0,6,0,2,0,1,6,0,0,2,2,3.6,Right,1.6,読売ジャイアンツ
マルティネス,5,0,0,5,0,0,0,0,0,0.0,17,5.0,3,0,0,0,0,3,0,0,1,1,1.8,Right,0.6,読売ジャイアンツ
又木　鉄平,2,0,0,0,0,0,0,0,0,0.0,14,3.0,4,0,2,0,0,1,0,0,2,2,6.0,Left,2.0,読売ジャイアンツ
山城　京平,1,0,0,0,0,0,0,0,0,0.0,13,2.0,3,0,3,0,2,1,0,0,5,5,22.5,Left,3.0,読売ジャイアンツ
