Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
池田　駿,33,0,2,0,4,4,0,0,0,0.0,157,37.666666666666664,31,2,15,0,1,33,1,0,14,14,3.35,Left,1.221,読売ジャイアンツ
乾　真大,5,0,0,0,0,0,0,0,0,0.0,25,5.333333333333333,8,0,3,0,0,5,2,0,3,3,5.06,Left,2.062,読売ジャイアンツ
今村　信貴,3,0,2,0,0,0,0,0,0,0.0,34,6.333333333333333,12,1,3,0,1,6,0,0,5,4,5.68,Left,2.368,読売ジャイアンツ
内海　哲也,12,2,7,0,0,0,0,0,0,0.222,258,57.666666666666664,66,10,18,0,3,34,3,1,37,37,5.77,Left,1.457,読売ジャイアンツ
江柄子　裕樹,2,0,0,0,0,0,0,0,0,0.0,14,3.0,5,2,0,0,0,2,0,0,5,5,15.0,Right,1.667,読売ジャイアンツ
大竹　寛,13,4,4,0,0,0,0,0,0,0.5,300,69.0,75,9,18,0,3,50,0,1,41,39,5.09,Right,1.348,読売ジャイアンツ
カミネロ,57,3,5,29,4,7,0,0,0,0.375,268,63.333333333333336,56,4,23,0,4,65,1,0,21,17,2.42,Right,1.247,読売ジャイアンツ
桜井　俊貴,19,0,1,0,0,0,0,0,0,0.0,126,27.0,28,2,15,0,2,16,2,0,18,17,5.67,Right,1.593,読売ジャイアンツ
篠原　慎平,23,1,1,0,0,1,0,0,0,0.5,117,27.333333333333332,25,2,14,0,1,19,3,0,13,11,3.62,Right,1.427,読売ジャイアンツ
菅野　智之,25,17,5,0,0,0,6,4,3,0.773,713,187.33333333333334,129,10,31,0,1,171,1,0,36,33,1.59,Right,0.854,読売ジャイアンツ
高木　勇人,16,1,2,0,1,2,0,0,0,0.333,108,27.333333333333332,20,4,5,0,3,15,0,0,9,8,2.63,Right,0.915,読売ジャイアンツ
田口　麗斗,26,13,4,0,0,0,3,2,1,0.765,709,170.66666666666666,159,14,49,1,4,122,1,0,59,57,3.01,Left,1.219,読売ジャイアンツ
谷岡　竜平,5,0,1,0,0,0,0,0,0,0.0,36,6.0,12,1,8,0,0,7,1,0,8,8,12.0,Right,3.333,読売ジャイアンツ
田原　誠次,27,1,1,0,1,2,0,0,0,0.5,123,28.0,28,4,11,3,2,17,1,0,9,9,2.89,Right,1.393,読売ジャイアンツ
戸根　千明,6,1,0,0,0,1,0,0,0,1.0,45,8.0,13,1,4,0,2,11,0,0,8,6,6.75,Left,2.125,読売ジャイアンツ
中川　皓太,18,0,0,0,0,0,0,0,0,0.0,107,25.0,28,2,4,0,2,19,0,1,12,12,4.32,Left,1.28,読売ジャイアンツ
西村　健太朗,45,0,2,0,10,10,0,0,0,0.0,196,48.0,44,5,14,1,2,34,0,0,19,19,3.56,Right,1.208,読売ジャイアンツ
畠　世周,13,6,4,0,0,0,0,0,0,0.6,288,72.33333333333333,53,9,23,0,2,72,1,0,27,24,2.99,Right,1.051,読売ジャイアンツ
マイコラス,27,14,8,0,0,0,0,0,0,0.636,745,188.0,162,10,23,0,11,187,4,1,53,47,2.25,Right,0.984,読売ジャイアンツ
マシソン,59,4,4,2,27,31,0,0,0,0.5,270,68.33333333333333,52,6,18,0,1,79,1,0,18,17,2.24,Right,1.024,読売ジャイアンツ
宮國　椋丞,17,1,7,0,1,1,0,0,0,0.125,246,57.0,64,5,18,0,0,41,0,1,32,30,4.74,Right,1.439,読売ジャイアンツ
森福　允彦,30,1,3,0,6,7,0,0,0,0.25,87,20.666666666666668,23,3,7,0,0,18,0,0,8,7,3.05,Left,1.452,読売ジャイアンツ
山口　俊,4,1,1,0,0,0,0,0,0,0.5,97,21.0,24,5,16,0,1,22,1,1,15,15,6.43,Right,1.905,読売ジャイアンツ
山口　鉄也,18,1,1,0,3,4,0,0,0,0.5,62,13.333333333333334,14,1,8,0,0,10,0,0,6,6,4.05,Left,1.65,読売ジャイアンツ
吉川　光夫,12,1,3,0,0,0,0,0,0,0.25,181,38.333333333333336,51,4,15,0,4,28,2,0,28,25,5.87,Left,1.722,読売ジャイアンツ
青柳　晃洋,12,4,4,0,0,0,0,0,0,0.5,282,64.33333333333333,53,2,28,0,10,50,0,0,32,23,3.22,Right,1.259,阪神タイガース
秋山　拓巳,25,12,6,0,0,0,2,0,0,0.667,638,159.33333333333334,158,15,16,0,6,123,0,0,56,53,2.99,Right,1.092,阪神タイガース
