Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
アダメス,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
阿部　慎之助,95,192,158,15,47,8,0,7,76,27,0,0,0,2,28,2,4,23,1,.297,0.481,0.411,Left,0.892,読売ジャイアンツ
池田　駿,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
石川　慎吾,55,76,70,12,18,2,0,4,32,10,0,0,0,0,6,1,0,14,2,.257,0.457,0.316,Right,0.773,読売ジャイアンツ
今村　信貴,17,26,23,2,4,0,0,0,4,1,0,0,2,0,1,0,0,9,0,.174,0.174,0.208,Left,0.382,読売ジャイアンツ
宇佐見　真吾,3,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,0.25,0.25,Left,0.5,読売ジャイアンツ
大江　竜聖,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大城　卓三,109,329,294,19,78,16,1,6,114,30,0,1,5,1,25,0,4,80,7,.265,0.388,0.33,Left,0.718,読売ジャイアンツ
大竹　寛,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
岡本　和真,143,628,555,84,147,29,0,31,269,94,3,0,2,3,62,3,6,132,15,.265,0.485,0.343,Right,0.828,読売ジャイアンツ
鍵谷　陽平,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
加藤　脩平,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
亀井　善行,131,503,450,67,128,27,2,13,198,55,9,1,3,5,45,3,0,91,6,.284,0.44,0.346,Left,0.786,読売ジャイアンツ
岸田　行倫,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
北村　拓己,5,7,5,3,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,.000,0.0,0.286,Right,0.286,読売ジャイアンツ
クック,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
鍬原　拓也,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
ゲレーロ,101,333,287,33,68,16,2,21,151,54,1,0,1,1,40,2,4,59,5,.237,0.526,0.337,Right,0.863,読売ジャイアンツ
小林　誠司,92,236,213,20,52,6,0,2,64,19,1,0,11,1,7,0,4,48,12,.244,0.3,0.28,Right,0.58,読売ジャイアンツ
坂本　工宜,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
