Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
アンダーソン,3,12,12,0,3,0,0,0,3,1,0,0,0,0,0,0,0,4,0,.250,0.25,0.25,Left,0.5,読売ジャイアンツ
相川　亮二,37,48,41,2,10,2,0,0,12,4,0,0,0,1,6,1,0,10,0,.244,0.293,0.333,Right,0.626,読売ジャイアンツ
阿部　慎之助,91,387,335,43,104,13,0,12,153,52,0,1,1,3,44,1,4,55,8,.310,0.457,0.394,Left,0.851,読売ジャイアンツ
乾　真大,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
今村　信貴,16,24,22,0,2,0,0,0,2,0,0,0,2,0,0,0,0,9,0,.091,0.091,0.091,Left,0.182,読売ジャイアンツ
内海　哲也,18,35,28,0,1,0,0,0,1,0,0,0,4,0,3,0,0,18,0,.036,0.036,0.129,Left,0.165,読売ジャイアンツ
江柄子　裕樹,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
大田　泰示,62,119,114,12,23,6,1,4,43,13,0,0,0,1,4,0,0,45,3,.202,0.377,0.227,Right,0.604,読売ジャイアンツ
大竹　寛,17,31,24,0,1,0,0,0,1,0,0,0,6,0,1,0,0,11,0,.042,0.042,0.08,Right,0.122,読売ジャイアンツ
岡本　和真,3,10,10,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2,.100,0.2,0.1,Right,0.3,読売ジャイアンツ
ガルシア,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
片岡　治大,32,93,81,10,18,3,0,2,27,4,4,0,6,0,6,1,0,8,2,.222,0.333,0.276,Right,0.609,読売ジャイアンツ
加藤　健,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
亀井　善行,66,240,226,21,57,14,0,3,80,23,0,2,3,0,11,0,0,35,7,.252,0.354,0.287,Left,0.641,読売ジャイアンツ
ギャレット,123,465,422,48,109,22,1,24,205,68,0,1,0,0,39,0,4,106,10,.258,0.486,0.327,Left,0.813,読売ジャイアンツ
北　篤,3,7,5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,1,.200,0.2,0.429,Left,0.629,読売ジャイアンツ
クルーズ,81,314,298,26,75,14,0,11,122,37,0,2,0,3,11,0,2,40,7,.252,0.409,0.28,Right,0.689,読売ジャイアンツ
公文　克彦,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
小林　誠司,129,458,398,27,81,12,1,4,107,35,2,1,19,1,36,5,4,76,10,.204,0.269,0.276,Right,0.545,読売ジャイアンツ
小山　雄輝,9,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.500,0.5,0.5,Right,1.0,読売ジャイアンツ
坂本　勇人,137,576,488,96,168,28,3,23,271,75,13,3,1,6,81,2,0,67,6,.344,0.555,0.433,Right,0.988,読売ジャイアンツ
桜井　俊貴,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
實松　一成,19,33,28,3,7,1,0,1,11,1,0,0,1,0,4,1,0,7,0,.250,0.393,0.344,Right,0.737,読売ジャイアンツ
澤村　拓一,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
重信　慎之介,25,87,79,10,15,1,3,0,22,2,5,1,1,0,7,0,0,20,0,.190,0.278,0.256,Left,0.534,読売ジャイアンツ
菅野　智之,26,61,54,3,12,1,0,0,13,3,0,0,5,1,1,0,0,18,0,.222,0.241,0.232,Right,0.473,読売ジャイアンツ
鈴木　尚広,44,10,10,15,3,0,0,0,3,1,10,0,0,0,0,0,0,3,0,.300,0.3,0.3,Switch,0.6,読売ジャイアンツ
平良　拳太郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
高木　勇人,25,36,29,1,1,1,0,0,2,0,0,0,5,0,2,0,0,16,0,.034,0.069,0.097,Right,0.166,読売ジャイアンツ
田口　麗斗,26,56,48,2,5,0,0,0,5,1,0,0,7,0,1,0,0,16,1,.104,0.104,0.122,Left,0.226,読売ジャイアンツ
立岡　宗一郎,51,209,188,15,43,6,1,2,57,9,9,3,6,0,10,0,5,31,1,.229,0.303,0.286,Left,0.589,読売ジャイアンツ
田原　誠次,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
長野　久義,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,0,5,78,7,.283,0.403,0.326,Right,0.729,読売ジャイアンツ
辻　東倫,15,40,34,1,6,2,0,0,8,0,0,1,0,0,4,0,2,12,0,.176,0.235,0.3,Left,0.535,読売ジャイアンツ
土田　瑞起,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
寺内　崇幸,55,33,31,2,4,1,0,0,5,1,0,0,2,0,0,0,0,11,0,.129,0.161,0.129,Right,0.29,読売ジャイアンツ
戸根　千明,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
堂上　剛裕,43,53,48,4,8,2,0,2,16,6,0,0,0,0,4,0,1,11,2,.167,0.333,0.245,Left,0.578,読売ジャイアンツ
中井　大介,43,61,51,3,10,2,1,0,14,4,0,0,1,1,7,0,1,13,0,.196,0.275,0.3,Right,0.575,読売ジャイアンツ
中川　皓太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
西村　健太朗,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
橋本　到,74,259,219,27,51,15,1,2,74,20,7,3,20,0,20,0,0,45,4,.233,0.338,0.297,Left,0.635,読売ジャイアンツ
長谷川　潤,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
藤村　大介,5,6,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.0,0.2,Left,0.2,読売ジャイアンツ
ポレダ,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
マイコラス,14,36,32,2,2,1,0,1,6,1,0,0,3,0,1,0,0,17,1,.063,0.188,0.091,Right,0.279,読売ジャイアンツ
マシソン,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
松本　哲也,52,77,69,6,12,1,1,0,15,1,2,0,5,0,2,0,1,22,1,.174,0.217,0.208,Left,0.425,読売ジャイアンツ
宮國　椋丞,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
村田　修一,143,576,529,58,160,32,0,25,267,81,1,3,2,2,38,0,5,83,21,.302,0.505,0.354,Right,0.859,読売ジャイアンツ
メンドーサ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
矢貫　俊之,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
山口　鉄也,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
山本　泰寛,27,86,78,8,20,5,1,0,27,2,0,1,6,0,2,0,0,20,2,.256,0.346,0.275,Right,0.621,読売ジャイアンツ
吉川　大幾,50,56,51,7,9,0,0,0,9,1,1,2,2,0,3,0,0,14,0,.176,0.176,0.222,Switch,0.398,読売ジャイアンツ
脇谷　亮太,54,115,108,8,17,3,1,1,25,7,0,0,1,0,6,0,0,18,4,.157,0.231,0.202,Left,0.433,読売ジャイアンツ
青柳　晃洋,13,19,17,0,2,1,0,0,3,0,0,0,2,0,0,0,0,9,0,.118,0.176,0.118,Right,0.294,阪神タイガース
秋山　拓巳,8,3,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.0,1.0,Left,2.0,阪神タイガース
新井　良太,46,88,78,10,12,3,0,3,24,8,1,0,1,1,7,0,1,21,1,.154,0.308,0.23,Right,0.538,阪神タイガース
荒木　郁也,46,73,57,13,14,2,0,0,16,2,2,0,7,0,8,1,1,10,1,.246,0.281,0.348,Left,0.629,阪神タイガース
安藤　優也,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,阪神タイガース
石崎　剛,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
板山　祐太郎,40,115,106,9,25,5,1,0,32,5,1,0,2,0,7,0,0,31,0,.236,0.302,0.283,Left,0.585,阪神タイガース
伊藤　和雄,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,阪神タイガース
伊藤　隼太,29,54,53,2,13,0,1,1,18,4,0,1,0,0,1,0,0,11,0,.245,0.34,0.259,Left,0.599,阪神タイガース
